,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Voltaje,Con USB,Con HDMI,Tipo de pantalla,Tamaño de la pantalla,Tipo de resolución,Con HDR,Es smart,Es 3D,Es curvo,Es portátil,Con apagado automático,Cantidad de puertos HDMI,Cantidad de puertos USB,Con Wi-Fi,Con Bluetooth,Con ethernet,Con VGA,Resolución máxima,Relación de aspecto,Brillo,Tiempo de respuesta,Ancho x Profundidad x Altura,Peso,Cantidad de parlantes,Potencia máxima de los parlantes,Accesorios incluidos,Apps integradas,Sistema operativo,Frecuencia de actualización de la pantalla,Modos de sonido,Color,Generación,Interfaces de audio y video,Resolución máxima de video,Calidad de audio,Aplicaciones compatibles,Dispositivos compatibles,Sistemas operativos mínimos requeridos,Formato del dispositivo,Tecnologías de streaming,CPU,Procesador gráfico,Tipos de puertos y conectores,Estándares Wi-Fi,Frecuencias,Largo,Ancho,Altura,Cantidad de núcleos del procesador,Con función screen share,Con comando de voz integrado,Asistentes virtuales integrados,Países con control mágico incluido,Con sistema de montaje VESA incorporado
10, Blackmagic Design Atem Tv Studio Pro 4k-hd Live Switcher,HN,None,Televisores,L,,37000,,,1,None,,https://articulo.mercadolibre.com.hn/MHN-513746502-blackmagic-design-atem-tv-studio-pro-4k-hd-live-switcher-_JM#position=16&search_layout=stack&type=item&tracking_id=c5f5959a-90e4-484d-9c58-fea4288662,22/03/2023 11:17:37,Blackmagic Design ATEM TV Studio Pro 4K-HD Live Switcher,,Blackmagic Design ATEM TV Studio Pro 4K-HD Live Switcher,Blackmagic Design ATEM TV Studio Pro 4K-HD Live Switcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blackmagic Design ATEM TV Studio Pro 4K-HD Live Switcher,,,,,,,,,,,,,,,,,,,,,,
11,Vizio 4k Oled 55 Smart Tv | Oled55-h1,HN,None,Televisores,U$S,,300,,,1,None,,https://articulo.mercadolibre.com.hn/MHN-513402016-vizio-4k-oled-55-smart-tv-oled55-h1-_JM#position=17&search_layout=stack&type=item&tracking_id=c5f5959a-90e4-484d-9c58-fea4288662a3,22/03/2023 11:17:41,Vizio,,,,,,,,"65 """,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Nvidia Shield Tv Pro 4k Hdr Streaming Media Player -,HN,None,Televisores,L,,3800,,,1,None,,https://articulo.mercadolibre.com.hn/MHN-513493005-nvidia-shield-tv-pro-4k-hdr-streaming-media-player--_JM#position=18&search_layout=stack&type=item&tracking_id=c5f5959a-90e4-484d-9c58-fea4288662a3,22/03/2023 11:17:44,Nvidia,Shield,Shield TV Pro Versión 2019,,,,,,,,,,,,,,,,Sí,Sí,,,,,,,,,,,,,Android TV 9.0 Pie,,,,1.ª generación,HDMI,4K,"DTS-HD,DTS-X,Dolby Atmos,Dolby Digital,Dolby Digital Plus,Dolby TrueHD","Amazon Music,Amazon Prime Video,Google Play Games,Google Play Movies & TV,Google Play Store,IMDb TV,Netflix,Plex,Vudu,YouTube,YouTube Music","Celulares,Computadoras,Televisores","Android,iOS",TV Box,Chromecast,Cortex-A57 Quad-Core,Nvidia Maxwell 256-Core,"Ethernet,USB-A",IEEE 802.11ac,"2.4 GHz,5 GHz",15.9 cm,2.593 cm,9.8 cm,,,,,,
13,Samsung Qn55s95bafxza 55  Black S95b Oled 4k Smart Tv (2022),HN,None,Televisores,U$S,,500,,,1,None,,https://articulo.mercadolibre.com.hn/MHN-514344510-samsung-qn55s95bafxza-55-black-s95b-oled-4k-smart-tv-2022-_JM#position=19&search_layout=stack&type=item&tracking_id=c5f5959a-90e4-484d-9c58-fea428866,22/03/2023 11:17:47,Samsung,TV,Smart TV,Samsung,,,,,"55 """,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Samsung Qe75qn900a 75 Neo Qled 8k Quantum Hdr Smart Tv,HN,None,Televisores,L,,16456,,,1,None,,https://articulo.mercadolibre.com.hn/MHN-514851506-samsung-qe75qn900a-75-neo-qled-8k-quantum-hdr-smart-tv-_JM#position=20&search_layout=stack&type=item&tracking_id=c5f5959a-90e4-484d-9c58-fea4288662a3,22/03/2023 11:17:50,Samsung,Qe75qn900a,Neo Qled 8k,Quantum Hdr Smart Tv,110V/220V,,,QLED,"65 """,5K,Sí,Sí,,,Sí,,,,,,,,,,,,,,,,,,,,,Negro,,,,,,,,,,,,,,,,,,,,,,,
15,LG 47lb650v 3d Full Hd 1080p Led Tv,HN,None,Televisores,U$S,,200,,1,1,None,,https://articulo.mercadolibre.com.hn/MHN-514669504-lg-47lb650v-3d-full-hd-1080p-led-tv-_JM#position=23&search_layout=stack&type=item&tracking_id=c5f5959a-90e4-484d-9c58-fea4288662a3,22/03/2023 11:17:59,LG,AI ThinQ,LG 47LB650V 3D FULL HD 1080P LED TV,LG 47LB650V 3D FULL HD 1080P LED TV,,Sí,Sí,,"47 """,Full HD,Sí,Sí,Sí,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,LG Electronics Oled55b7a 55-inch 4k Ultra Hd Smart Oled Tv,HN,None,Televisores,U$S,,330,,,1,None,,https://articulo.mercadolibre.com.hn/MHN-514396512-lg-electronics-oled55b7a-55-inch-4k-ultra-hd-smart-oled-tv-_JM#position=25&search_layout=stack&type=item&tracking_id=c5f5959a-90e4-484d-9c58-fea42886,22/03/2023 11:18:05,LG,LG Electronics OLED55B7A 55-Inch 4K Ultra HD Smart OLED TV,LG Electronics OLED55B7A 55-Inch 4K Ultra HD Smart OLED TV,LG Electronics OLED55B7A 55-Inch 4K Ultra HD Smart OLED TV,,Sí,Sí,,"55 """,,,Sí,Sí,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,LG Signature Oled77w7p 77 Uhd W Series Wallpaper Oled Ultra ,HN,None,Televisores,U$S,,500,,,1,None,,https://articulo.mercadolibre.com.hn/MHN-514565510-lg-signature-oled77w7p-77-uhd-w-series-wallpaper-oled-ultra-_JM#position=26&search_layout=stack&type=item&tracking_id=c5f5959a-90e4-484d-9c58-fea4288,22/03/2023 11:18:08,LG,LG SIGNATURE OLED77W7P 77 UHD W Series Wallpaper OLED Ultra HD 4K Smart TV,75UJ6520,LG SIGNATURE OLED77W7P 77 UHD W Series Wallpaper OLED Ultra HD 4K Smart TV,100V/240V,Sí,Sí,LED,"75 """,4K,Sí,Sí,,,,,4,2,Sí,Sí,Sí,,3840 px - 2160 px,16:9,,,169.7 cm x 6.53 cm x 98.1 cm,44.3 kg,2,20 W,"Cable de alimentación,Control remoto","Netflix,Web browser,YouTube",webOS,120 Hz,Ultra Surround,,,,,,,,,,,,,,,,,,,,,,,,
18,LG Electronics 65sk8000 65-inch 4k Ultra Hd Smart Led Tv ,HN,None,Televisores,U$S,,350,,,1,None,,https://articulo.mercadolibre.com.hn/MHN-514695506-lg-electronics-65sk8000-65-inch-4k-ultra-hd-smart-led-tv-_JM#position=27&search_layout=stack&type=item&tracking_id=c5f5959a-90e4-484d-9c58-fea4288662,22/03/2023 11:18:12,LG,Serie UHD,LG Electronics 65SK8000 65-Inch 4K Ultra HD Smart LED TV (2018 Model ),82UM7570PUB,100V/240V,Sí,Sí,LED,"82 """,4K,Sí,Sí,,,,Sí,4,3,Sí,Sí,Sí,,3840 px - 2160 px,16:9,,,185 cm x 8.9 cm x 106.8 cm,46.2 kg,2,20 W,"Baterías,Cable de alimentación,Control remoto",,webOS,,"DTS Virtual:X,Dolby Surround,Ultra Surround",,,,,,,,,,,,,,,,,,,4,Sí,Sí,"Alexa,Google Assistant,ThinQ AI",México,
19,Televisor Samsung 65 Qled 4k Smart Tv Hdmi Usb,HN,None,Televisores,L,,9368,,,1,None,,https://articulo.mercadolibre.com.hn/MHN-515085528-televisor-samsung-65-qled-4k-smart-tv-hdmi-usb-_JM#position=28&search_layout=stack&type=item&tracking_id=c5f5959a-90e4-484d-9c58-fea4288662a3,22/03/2023 11:18:15,Samsung,QLED,QE65Q60RAT,QE65Q60RATXZT,220V - 240V,Sí,Sí,QLED,"65 """,4K,Sí,Sí,Sí,No,Sí,Sí,4,2,Sí,Sí,Sí,,3840 px - 2160 px,16:9,,,1456.1 mm x 59.2 mm x 836.6 mm,26 kg,2,20 W,"Baterías,Cable de alimentación,Manual,Manual electrónico,Smart control TM1950C","Gallery,Google Play Movies & TV,Netflix,Prime Video,Rakuten TV,Samsung TV Plus,SmartThings,Web browser,YouTube",,,Dolby Digital Plus,Negro,,,,,,,,,,,,,,,,,,,Sí,Sí,Bixby,,Sí
