,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Voltaje,Es smart,Es 3D,Tipo de pantalla,Tamaño de la pantalla,Tipo de resolución,Con Wi-Fi,Modelo,Color,Con USB,Con HDMI,Con HDR,Es curvo,Es portátil,Modelo alfanumérico,Cantidad de puertos USB,Con ethernet,Cantidad de núcleos del procesador,Sistema operativo,Cantidad de puertos HDMI,Con función screen share,Apps integradas,Resolución máxima,Ángulo de visión horizontal,Ángulo de visión vertical,Relación de aspecto,Relación de contraste,Brillo,Tiempo de respuesta,Frecuencia de actualización de la pantalla,Ancho x Profundidad x Altura,Peso,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Accesorios incluidos,Duración del producto,Con apagado automático
10,Tv Panasonic 46  Usado,VE,None,Televisores,U$S,,100,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-573811337-tv-panasonic-46-usado-_JM#position=24&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:16:03,Panasonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Tv Siragon 43 Pulgadas . Para Repuesto,VE,None,Televisores,U$S,,50,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-734399429-tv-siragon-43-pulgadas-para-repuesto-_JM#position=25&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:16:08,,Siragon,110,Sí,,LED,"43 """,Full HD,,Tv 7443,Negro,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Tv Plasma Samsung 43 Pl43e400 Pantalla Rota,VE,None,Televisores,U$S,,30,,1,1,None,,https://articulo.mercadolibre.com.ve/MLV-728450509-tv-plasma-samsung-43-pl43e400-pantalla-rota-_JM#position=29&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:16:22,Samsung,TV,,,,,"30 """,,,Samsung,,,,,,,Samsung,,,,,,,,,,,,,,,,,,,,,,,
13,Vendo Para Reparación O Repuestos Tv Haier Modelo L32f6 Led,VE,None,Televisores,U$S,,45,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-739083288-vendo-para-reparacion-o-repuestos-tv-haier-modelo-l32f6-led-_JM#position=32&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17cc,22/03/2023 13:16:30,Haier,MARRON,100V/240V,No,No,LED,"32 """,HD,,L32F6LED,Negro,Sí,Sí,Sí,No,No,32PULGADAS,,,,,,,,,,,,,,,,,,,,,,,
14,Tv Monitor 24  Samsung Para Repuesto ,VE,None,Televisores,U$S,,50,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-721724735-tv-monitor-24-samsung-para-repuesto-_JM#position=34&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:16:36,Samsung,TV monitor,Ac100-240,No,No,LED,"24 """,HD,,Lt24d310lb/zp,Negro,Sí,Sí,Sí,No,No,Lt24d310,,,,,,,,,,,,,,,,,,,,,,,
15,Televisor LG 37  (falla Sólo Al Encender) Negociable.,VE,None,Televisores,U$S,,8,,1,1,None,,https://articulo.mercadolibre.com.ve/MLV-734504697-televisor-lg-37-falla-solo-al-encender-negociable-_JM#position=39&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:16:51,LG,TV,,,,LCD,"37 """,,,,Negro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Tv Sony Bravia 40 Pulgadas Lcd,VE,None,Televisores,U$S,,10,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-577540337-tv-sony-bravia-40-pulgadas-lcd-_JM#position=43&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:17:03,Sony,Bravia,,,,,"40 """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Tv Sony Bravía 40 Pulgadas Smartv,VE,None,Televisores,U$S,,16,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-722687011-tv-sony-bravia-40-pulgadas-smartv-_JM#position=44&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:17:07,Sony,Bravia,110 voltios,Sí,No,LCD,"40 """,Full HD,Sí,Sony KDL-40EX525,Negro,Sí,Sí,Sí,No,No,,2,Sí,,,,,,,,,,,,,,,,,,,,,
18,Televisor 32  Hisense,VE,None,Televisores,U$S,,130,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-734737907-televisor-32-hisense-_JM#position=45&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:17:09,Hisense,"32""",110 / 220,Sí,Sí,LED,"32 """,HD,Sí,2020,Negro,Sí,Sí,Sí,No,Sí,HLE3217RT,2,Sí,4,Ginga,3,Sí,"YouTube,Netflix,Web browser",1920 px - 1080 px,178°,178°,16:9,3000:1,200 cd/m²,6.5 ms,60 Hz,73.4 cm x 9.3 cm x 43.4 cm,4.3 kg,2,12 W,DBX,"Control remoto,Cable de alimentación",,
19,Televisor Panasonic Convencional Tv Culon 21  ,VE,None,Televisores,U$S,,50,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-737845212-televisor-panasonic-convencional-tv-culon-21-_JM#position=46&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:17:12,Panasonic,Convencional,110V/220V,,,CRT,"21 """,WVGA,,Color TV,Negro,,,,,,CT-22136W,,,,,,,,,,,,,,,,,,,,,,,
20,Pantalla Tv L26f6 ,VE,None,Televisores,U$S,,40,,1,1,None,,https://articulo.mercadolibre.com.ve/MLV-739373446-pantalla-tv-l26f6-_JM#position=47&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:17:14,china,Tv,110,No,No,LCD,"26 """,no aplica,,L26F6,no aplica,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,
21,Televisor Samsung 43 Plasma ,VE,None,Televisores,U$S,,50,,1,1,None,,https://articulo.mercadolibre.com.ve/MLV-736003672-televisor-samsung-43-plasma-_JM#position=48&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:17:18,Samsung,Samsung,,No,No,Plasma,"43 """,,,Samsung,,Sí,Sí,No,No,No,Samsung,,,,,,,,,,,,,,,,,,,,,,,
22,Televisor Panasonic Panablack Panaturbo 29 ,VE,None,Televisores,U$S,,60,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-715790048-televisor-panasonic-panablack-panaturbo-29-_JM#position=2&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:18:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Tv Bravia 32  Para Reparar, Polarizado Malo Y No Enciende",VE,None,Televisores,U$S,,30,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-546555882-tv-bravia-32-para-reparar-polarizado-malo-y-no-enciende-_JM#position=3&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:19:00,Sony,Bravia,,,,LED,"32 """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Televisor ,VE,None,Televisores,U$S,,50,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-728680748-televisor-_JM#position=5&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:19:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Tv Samsung 20 PuLG  Color C/c Remoto Crt,VE,None,Televisores,U$S,,34,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-732424136-tv-samsung-20-pulg-color-cc-remoto-crt-_JM#position=6&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:19:12,Samsung,Televisores CRT,110V,No,No,CRT,"20 """,SDTV,,a color con control remoto,Negro,No,No,No,Sí,No,CT-5038VC,,,,,,,,,,,,,,,,,,,,,,24 h,Sí
26,Televisor 20   Usado,VE,None,Televisores,U$S,,45,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-721210509-televisor-20-usado-_JM#position=8&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:19:19,,,,No,No,,"20 """,,,Daewo,Gris,No,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,
27,Televisor Samsung,VE,None,Televisores,U$S,,2,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-732955116-televisor-samsung-_JM#position=9&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:19:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Televisor Toshiba 14 Pulgadas A Color C/control Remoto,VE,None,Televisores,U$S,,40,,1,1,None,,https://articulo.mercadolibre.com.ve/MLV-727982025-televisor-toshiba-14-pulgadas-a-color-ccontrol-remoto-_JM#position=12&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:19:31,Toshiba,,,,,,"14 """,SDTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
