,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Color,Voltaje,Con USB,Con HDMI,Tipo de pantalla,Tamaño de la pantalla,Tipo de resolución,Con HDR,Es smart,Es 3D,Es curvo,Es portátil,Frecuencia,Sistema operativo,Con apagado automático,Con cables ocultos,Con sistema de montaje VESA incorporado,Ancho x Profundidad x Altura,Peso,Accesorios incluidos,Con función screen share,Con comando de voz integrado,Asistentes virtuales integrados,Apps integradas,Resolución máxima,Relación de aspecto,Cantidad de puertos HDMI,Cantidad de puertos USB,Con Wi-Fi,Con Bluetooth,Con ethernet,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Ancho con soporte,Profundidad con soporte,Altura con soporte,Peso con soporte,Con entrada S/PDIF,Con entrada de antena RF,Países con control mágico incluido,Ángulo de visión horizontal,Ángulo de visión vertical,Con VGA,Cantidad de núcleos del procesador,Frecuencia de actualización de la pantalla,Capacidad de almacenamiento,Con entrada por video compuesto,Relación de contraste,Brillo,Tiempo de respuesta,Con entrada por video componentes
33,"Smart TV Samsung Series 8 UN50AU8000FXZX LED 4K 50"" 110V - 127V",EC,None,Televisores,U$S,,549,,100,1,None,,https://www.mercadolibre.com.ec/smart-tv-samsung-series-8-un50au8000fxzx-led-4k-50-110v-127v/p/MEC18445083?pdp_filters=category:MEC1002#searchVariation=MEC18445083&position=5&search_layout=stack&type=,22/03/2023 09:46:45,Samsung,Series 8,UN50AU8000F,UN50AU8000FXZX,,110V - 127V,Sí,Sí,LED,"50 """,4K,Sí,Sí,,,,50 Hz x 60 Hz,Tizen,Sí,Sí,Sí,1118.3 mm x 25.7 mm x 644.5 mm,11.5 kg,"Smart control TM2180A, Baterías, Manual, Manual electrónico, Cable de alimentación",Sí,Sí,Bixby,"Web browser, Gallery, Netflix, Prime Video, Samsung TV Plus, Hulu, Apple TV, HBO Max, YouTube, Vudu, YouTube TV, ESPN, Samsung Health, Disney+",3840 px - 2160 px,16:9,3,2,Sí,Sí,Sí,2,20 W,"Dolby Digital Plus, Q-Symphony, Object Tracking Sound",1118.3 mm,226.6 mm,684.6 mm,12.2 kg,Sí,Sí,,,,,,,,No,,,,No
34,"Smart TV Samsung Series 4 UN32T4300AGXZS LED HD 32"" 100V/240V",EC,None,Televisores,U$S,,245,,100,1,None,,https://www.mercadolibre.com.ec/smart-tv-samsung-series-4-un32t4300agxzs-led-hd-32-100v240v/p/MEC16268691?pdp_filters=category:MEC1002#searchVariation=MEC16268691&position=6&search_layout=stack&type=p,22/03/2023 09:46:52,Samsung,Series 4,UN32T4300A,UN32T4300AGXZS,,100V/240V,Sí,Sí,LED,"32 """,HD,Sí,Sí,,,,,Tizen,Sí,,,737.4 mm x 74.1 mm x 438 mm,4 kg,"Baterías, Cable de alimentación, Control remoto TM1240A",Sí,,,"Web browser, YouTube",1366 px - 768 px,16:9,2,1,Sí,,Sí,2,10 W,Dolby Audio,737.4 mm,150.5 mm,465.4 mm,4.1 kg,Sí,Sí,,,,,,,,Sí,,,,Sí
35,"Smart TV LG AI ThinQ OLED55B9PSB 4K 55"" 100V/240V",EC,None,Televisores,U$S,,1269,,100,1,None,,https://www.mercadolibre.com.ec/smart-tv-lg-ai-thinq-oled55b9psb-4k-55-100v240v/p/MEC15191479?pdp_filters=category:MEC1002#searchVariation=MEC15191479&position=7&search_layout=stack&type=product&track,22/03/2023 09:46:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,None,EC,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.ec/mclics/clicks/external/MEC/count?a=SF5WtGHPkieFewjzFTZtCd95oxOblQcoQ7XsZwaZU7VcrG38swbPiGK32h%2BSIO34fqBrKcXvluwo29uW2NZVKkb8yw0UIhrMryqJVPXnqVqsUiOZpPX6h9e%2FHWJYjb,22/03/2023 09:47:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,None,EC,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.ec/mclics/clicks/external/MEC/count?a=7GJ5M9xEUlwbeI5jr1I98fmGEcmYUrQsxeQVrkVYK8HKfKy8pzRMJN6FnUfB4qRVgr%2FWnhk4SRv9PZpN4a2usg7krmDIfuAfvMrqLmoevPgejaqFrbjIHiKr1rqvi7D0,22/03/2023 09:47:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Smart TV Samsung Series 4 UN32T4300AFXZX LED HD 32"" 110V - 127V",EC,None,Televisores,U$S,,245,,50,1,None,,https://www.mercadolibre.com.ec/smart-tv-samsung-series-4-un32t4300afxzx-led-hd-32-110v-127v/p/MEC15796066?pdp_filters=category:MEC1002#searchVariation=MEC15796066&position=10&search_layout=stack&type,22/03/2023 09:47:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,None,EC,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.ec/mclics/clicks/external/MEC/count?a=DMkeHEhwGENKoz0tdDGxd4FuC5BAwq783jLPhx%2BZEPl0EJSJ5nST7YO02aJHAiOLUvfH2AGDmgQdWPmXPIoydG%2BAO6mNHdr6rtVrbue%2BJt3uZR71s3hUkgUAkCOG,22/03/2023 09:47:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,None,EC,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.ec/mclics/clicks/external/MEC/count?a=XlzbWe9S%2Fi8pT5TUIrFeOTRT0td8IoLbsQQwiFC8dOiPG40ecnIsXk%2F09pFj3BfrrvVDdl6qxr2kgmEjWYaOozpf3t%2FK4g26q5SzgIzSKZfW693xHGEntlOxc77%,22/03/2023 09:47:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Televisor Tcl 50 Pulgadas Qled C635 4k Uhd 2023 + Regalos,EC,None,Televisores,U$S,,529,,50,1,None,,https://articulo.mercadolibre.com.ec/MEC-529139927-televisor-tcl-50-pulgadas-qled-c635-4k-uhd-2023-regalos-_JM#position=32&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd17e,22/03/2023 09:47:37,TCL,C6-Series,50C635,50C635,Negro,110V,Sí,Sí,QLED,"50 """,4K,Sí,Sí,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Televisor Tcl 50 Android 9.0 2021 Modelo P615,EC,None,Televisores,U$S,,550,,50,1,None,,https://www.mercadolibre.com.ec/televisor-tcl-50-android-90-2021-modelo-p615/p/MEC21343840?pdp_filters=category:MEC1002#searchVariation=MEC21343840&position=13&search_layout=stack&type=product&trackin,22/03/2023 09:47:43,TCL,,50P615,,Negro,,Sí,Sí,,"50 """,,Sí,Sí,No,No,,,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,
