,title,brand,Modelo,avg_price,currency,rating,reviews,scrape_link,scrape_datetime,level_9,0
33,Televisor LG 48 Pulgadas OLED UHD Smart TV OLED48A2 ,LG,OLED48A2PSA.AWC,3.499.900,$,5.0,3,https://www.falabella.com.co/falabella-co/product/42127089/Televisor-LG-48-Pulgadas-OLED-UHD-Smart-TV-OLED48A2/42127089,27/06/2023 08:50:55,Smart TV,Sí
34,Televisor LG 48 Pulgadas OLED UHD Smart TV OLED48A2 ,LG,OLED48A2PSA.AWC,3.499.900,$,5.0,3,https://www.falabella.com.co/falabella-co/product/42127089/Televisor-LG-48-Pulgadas-OLED-UHD-Smart-TV-OLED48A2/42127089,27/06/2023 08:50:55,Definition,UHD
35,Televisor LG 48 Pulgadas OLED UHD Smart TV OLED48A2 ,LG,OLED48A2PSA.AWC,3.499.900,$,5.0,3,https://www.falabella.com.co/falabella-co/product/42127089/Televisor-LG-48-Pulgadas-OLED-UHD-Smart-TV-OLED48A2/42127089,27/06/2023 08:50:55,Operating system,Web OS
36,Televisor 65 Pulgadas LG Inteligencia artificial ThinQ  4K UHD ,LG,65UQ801C0SB,2.499.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/120584911/Televisor-65-Pulgadas-LG-Inteligencia-artificial-ThinQ-4K-UHD/120584912,27/06/2023 08:51:12,Screen size,65
37,Televisor 65 Pulgadas LG Inteligencia artificial ThinQ  4K UHD ,LG,65UQ801C0SB,2.499.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/120584911/Televisor-65-Pulgadas-LG-Inteligencia-artificial-ThinQ-4K-UHD/120584912,27/06/2023 08:51:12,Smart TV,Not Found
38,Televisor 65 Pulgadas LG Inteligencia artificial ThinQ  4K UHD ,LG,65UQ801C0SB,2.499.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/120584911/Televisor-65-Pulgadas-LG-Inteligencia-artificial-ThinQ-4K-UHD/120584912,27/06/2023 08:51:12,Definition,Not Found
39,Televisor 65 Pulgadas LG Inteligencia artificial ThinQ  4K UHD ,LG,65UQ801C0SB,2.499.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/120584911/Televisor-65-Pulgadas-LG-Inteligencia-artificial-ThinQ-4K-UHD/120584912,27/06/2023 08:51:12,Operating system,Not Found
40,Televisor JVC 50 pulgadas QLED 4K HDR Smart TV ,JVC,LT-50KD727,1.699.900,$,4.0,2,https://www.falabella.com.co/falabella-co/product/52746567/Televisor-JVC-50-pulgadas-QLED-4K-HDR-Smart-TV/52746567,27/06/2023 08:51:30,Screen size,50 pulgadas
41,Televisor JVC 50 pulgadas QLED 4K HDR Smart TV ,JVC,LT-50KD727,1.699.900,$,4.0,2,https://www.falabella.com.co/falabella-co/product/52746567/Televisor-JVC-50-pulgadas-QLED-4K-HDR-Smart-TV/52746567,27/06/2023 08:51:30,Smart TV,Sí
42,Televisor JVC 50 pulgadas QLED 4K HDR Smart TV ,JVC,LT-50KD727,1.699.900,$,4.0,2,https://www.falabella.com.co/falabella-co/product/52746567/Televisor-JVC-50-pulgadas-QLED-4K-HDR-Smart-TV/52746567,27/06/2023 08:51:30,Definition,4K HDR
43,Televisor JVC 50 pulgadas QLED 4K HDR Smart TV ,JVC,LT-50KD727,1.699.900,$,4.0,2,https://www.falabella.com.co/falabella-co/product/52746567/Televisor-JVC-50-pulgadas-QLED-4K-HDR-Smart-TV/52746567,27/06/2023 08:51:30,Operating system,No aplica
44,Televisor Caixun 40 pulgadas LED Full HD Smart TV ,CAIXUN,C40VAFG,849.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/69522013/Televisor-Caixun-40-pulgadas-LED-Full-HD-Smart-TV/69522013,27/06/2023 08:51:47,Screen size,40 pulgadas
45,Televisor Caixun 40 pulgadas LED Full HD Smart TV ,CAIXUN,C40VAFG,849.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/69522013/Televisor-Caixun-40-pulgadas-LED-Full-HD-Smart-TV/69522013,27/06/2023 08:51:47,Smart TV,Sí
46,Televisor Caixun 40 pulgadas LED Full HD Smart TV ,CAIXUN,C40VAFG,849.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/69522013/Televisor-Caixun-40-pulgadas-LED-Full-HD-Smart-TV/69522013,27/06/2023 08:51:47,Definition,Full HD
47,Televisor Caixun 40 pulgadas LED Full HD Smart TV ,CAIXUN,C40VAFG,849.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/69522013/Televisor-Caixun-40-pulgadas-LED-Full-HD-Smart-TV/69522013,27/06/2023 08:51:47,Operating system,No aplica
48,Tv hyundai 58 uhd smart android by google/sinborde ,HYUNDAI,Not Found,1.749.900,$,1.0,1,https://www.falabella.com.co/falabella-co/product/9692498/Tv-hyundai-58-uhd-smart-android-by-google-sinborde/9692498,27/06/2023 08:52:04,Screen size,57 pulgadas
49,Tv hyundai 58 uhd smart android by google/sinborde ,HYUNDAI,Not Found,1.749.900,$,1.0,1,https://www.falabella.com.co/falabella-co/product/9692498/Tv-hyundai-58-uhd-smart-android-by-google-sinborde/9692498,27/06/2023 08:52:04,Smart TV,Sí
50,Tv hyundai 58 uhd smart android by google/sinborde ,HYUNDAI,Not Found,1.749.900,$,1.0,1,https://www.falabella.com.co/falabella-co/product/9692498/Tv-hyundai-58-uhd-smart-android-by-google-sinborde/9692498,27/06/2023 08:52:04,Definition,4k ultra hd
51,Tv hyundai 58 uhd smart android by google/sinborde ,HYUNDAI,Not Found,1.749.900,$,1.0,1,https://www.falabella.com.co/falabella-co/product/9692498/Tv-hyundai-58-uhd-smart-android-by-google-sinborde/9692498,27/06/2023 08:52:04,Operating system,Android
52,Televisor Samsung 50 pulgadas Crystal UHD 4K HDR Smart TV ,SAMSUNG,F-UN50CU7000KX,1.999.900,$,5.0,2,https://www.falabella.com.co/falabella-co/product/68305299/Televisor-Samsung-50-pulgadas-Crystal-UHD-4K-HDR-Smart-TV/68305299,27/06/2023 08:52:21,Screen size,50 pulgadas
53,Televisor Samsung 50 pulgadas Crystal UHD 4K HDR Smart TV ,SAMSUNG,F-UN50CU7000KX,1.999.900,$,5.0,2,https://www.falabella.com.co/falabella-co/product/68305299/Televisor-Samsung-50-pulgadas-Crystal-UHD-4K-HDR-Smart-TV/68305299,27/06/2023 08:52:21,Smart TV,Sí
54,Televisor Samsung 50 pulgadas Crystal UHD 4K HDR Smart TV ,SAMSUNG,F-UN50CU7000KX,1.999.900,$,5.0,2,https://www.falabella.com.co/falabella-co/product/68305299/Televisor-Samsung-50-pulgadas-Crystal-UHD-4K-HDR-Smart-TV/68305299,27/06/2023 08:52:21,Definition,4K HDR
55,Televisor Samsung 50 pulgadas Crystal UHD 4K HDR Smart TV ,SAMSUNG,F-UN50CU7000KX,1.999.900,$,5.0,2,https://www.falabella.com.co/falabella-co/product/68305299/Televisor-Samsung-50-pulgadas-Crystal-UHD-4K-HDR-Smart-TV/68305299,27/06/2023 08:52:21,Operating system,Tizen
56,Televisor LG 75 Pulgadas 75UQ801CO UHD-4K ,LG,75UQ801CO,3.499.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/121185492/Televisor-LG-75-Pulgadas-75UQ801CO-UHD-4K/121185495,27/06/2023 08:52:39,Screen size,75
57,Televisor LG 75 Pulgadas 75UQ801CO UHD-4K ,LG,75UQ801CO,3.499.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/121185492/Televisor-LG-75-Pulgadas-75UQ801CO-UHD-4K/121185495,27/06/2023 08:52:39,Smart TV,Not Found
58,Televisor LG 75 Pulgadas 75UQ801CO UHD-4K ,LG,75UQ801CO,3.499.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/121185492/Televisor-LG-75-Pulgadas-75UQ801CO-UHD-4K/121185495,27/06/2023 08:52:39,Definition,Not Found
59,Televisor LG 75 Pulgadas 75UQ801CO UHD-4K ,LG,75UQ801CO,3.499.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/121185492/Televisor-LG-75-Pulgadas-75UQ801CO-UHD-4K/121185495,27/06/2023 08:52:39,Operating system,Not Found
60,Televisor Samsung 55 Pulgadas NEO QLED 4K Ultra HD Smart TV QN55QN85 ,SAMSUNG,QN55QN85BAKXZL,3.739.900,$,3.7,9,https://www.falabella.com.co/falabella-co/product/31880526/Televisor-Samsung-55-Pulgadas-NEO-QLED-4K-Ultra-HD-Smart-TV-QN55QN85/31880526,27/06/2023 08:52:56,Screen size,55 pulgadas
61,Televisor Samsung 55 Pulgadas NEO QLED 4K Ultra HD Smart TV QN55QN85 ,SAMSUNG,QN55QN85BAKXZL,3.739.900,$,3.7,9,https://www.falabella.com.co/falabella-co/product/31880526/Televisor-Samsung-55-Pulgadas-NEO-QLED-4K-Ultra-HD-Smart-TV-QN55QN85/31880526,27/06/2023 08:52:56,Smart TV,Sí
62,Televisor Samsung 55 Pulgadas NEO QLED 4K Ultra HD Smart TV QN55QN85 ,SAMSUNG,QN55QN85BAKXZL,3.739.900,$,3.7,9,https://www.falabella.com.co/falabella-co/product/31880526/Televisor-Samsung-55-Pulgadas-NEO-QLED-4K-Ultra-HD-Smart-TV-QN55QN85/31880526,27/06/2023 08:52:56,Definition,4K Ultra HD
