,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Modelo,Voltaje,Frecuencia,Es smart,Cantidad de núcleos del procesador,Capacidad de almacenamiento,Sistema operativo,Con USB,Con HDMI,Cantidad de puertos HDMI,Cantidad de puertos USB,Con Wi-Fi,Con Bluetooth,Con ethernet,Con entrada S/PDIF,Con entrada por video compuesto,Con entrada de antena RF,Con función screen share,Con comando de voz integrado,Asistentes virtuales integrados,Apps integradas,Tamaño de la pantalla,Tipo de resolución,Con HDR,Resolución máxima,Ángulo de visión horizontal,Ángulo de visión vertical,Relación de aspecto,Frecuencia de actualización de la pantalla,Ancho x Profundidad x Altura,Peso,Ancho con soporte,Profundidad con soporte,Altura con soporte,Peso con soporte,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Accesorios incluidos,Línea,Modelo alfanumérico,Color,Tipo de pantalla,Es 3D,Es curvo,Es portátil,Con sistema de montaje VESA incorporado,Con entrada por video componentes,Países con control mágico incluido,Con apagado automático,Con VGA,Tiempo de respuesta,Duración del producto,Brillo,Ancho x Altura
20,Tv 32 Jvc Smart Tv Digital Wifi Led Nuevo Modelo ,PE,4.7,Televisores,S/,,699,,25,1,None,6,https://articulo.mercadolibre.com.pe/MPE-435894813-tv-32-jvc-smart-tv-digital-wifi-led-nuevo-modelo-_JM#position=36&search_layout=stack&type=item&tracking_id=61298ac8-411d-4ed2-a5f3-10198e83d8dd,22/03/2023 12:32:26,JVC,LT-32KB208,220V,,Sí,,,,Sí,Sí,2,1,Sí,Sí,,,,,,,,,"32 """,HD,Sí,1366 px - 768 px,,,,,,,,,,,2,10 W,,,ANDROID TV,LT-32KB208,Negro,LED,No,No,No,,,,,,,,240 cd/m²,
21,Tv 55 LG Smart Uhd 4k Thinq Ai Nuevo Modelo Sellados ,PE,4.6,Televisores,S/,,1799,,50,1,None,9,https://articulo.mercadolibre.com.pe/MPE-436767910-tv-55-lg-smart-uhd-4k-thinq-ai-nuevo-modelo-sellados-_JM#position=39&search_layout=stack&type=item&tracking_id=61298ac8-411d-4ed2-a5f3-10198e83d8dd,22/03/2023 12:32:40,LG,55UQ7950,100V/240V,,Sí,,,webOS 6.0,Sí,Sí,,,Sí,Sí,,,,,,,,,"55 """,4K,Sí,,,,,,,,,,,,,,"AI Sound,Clear Voice,Dolby Digital,Ultra Surround","Base,Baterías,Cable de alimentación,Control remoto",AI ThinQ 2023,55UQ7950PSB,Negro,LED,No,No,No,,,,,,,,,
22,Televisor Samsung Smart Tv 65  Uhd 4k Un65au7090g,PE,4.8,Televisores,S/,3099,1899,38,25,1,None,4,https://articulo.mercadolibre.com.pe/MPE-609739744-televisor-samsung-smart-tv-65-uhd-4k-un65au7090g-_JM#position=43&search_layout=stack&type=item&tracking_id=61298ac8-411d-4ed2-a5f3-10198e83d8dd,22/03/2023 12:32:52,Samsung,UN65AU7090G,110V/220V,,Sí,,,,Sí,Sí,,,,,,,,,,,,,"65 """,4K,Sí,,,,,,,,,,,,,,,,Series 7,UN65AU7090G,Negro,LED,No,No,No,,,,,,,,,
23,X80k | 4k Ultra Hd | Alto Rango Dinámico (hdr) | Smart Tv,PE,None,Televisores,S/,2999,2699,10,1,1,None,,https://articulo.mercadolibre.com.pe/MPE-619395068-x80k-4k-ultra-hd-alto-rango-dinamico-hdr-smart-tv-_JM#position=44&search_layout=stack&type=item&tracking_id=61298ac8-411d-4ed2-a5f3-10198e83d8dd,22/03/2023 12:32:56,Sony,KD-50X80K,110V/220V,,Sí,,16 GB,,Sí,Sí,,,,Sí,,,,,,,,,"50 """,4K,Sí,,,,,,,,,,,,,,,,TV,KD-50X80K,Negro,LCD,No,No,Sí,,,,,,,7 días,,
24,Sony Kd-65x85j | 4k Ultra Hd | Hdr | Smart Tv (google Tv),PE,None,Televisores,S/,5999,4499,25,5,1,None,,https://articulo.mercadolibre.com.pe/MPE-447568342-sony-kd-65x85j-4k-ultra-hd-hdr-smart-tv-google-tv-_JM#position=45&search_layout=stack&type=item&tracking_id=61298ac8-411d-4ed2-a5f3-10198e83d8dd,22/03/2023 12:32:59,Sony,KD-65X85J,220V - 240V,50 Hz x 60 Hz,Sí,,16 GB,Android TV,Sí,Sí,4,2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,,"Google Play Store,Web browser","65 """,4K,Sí,3840 px - 2160 px,,,16:9,100 Hz,1452 mm x 72 mm x 834 mm,22.1 kg,1452 mm,338 mm,905 mm,,2,20 W,"DTS,Dolby Audio,Dolby Atmos,DTS Digital Surround","Soporte para la mesa,Baterías,Guía de instalación,Control remoto,Manual,Cable de alimentación",X85J Series,,Negro,LCD,No,No,No,Sí,No,,Sí,,,,,
25,Tv Sony 65x90k | 65 Pulgadas | 4k Ultra Hd| Smart Tv (google,PE,None,Televisores,S/,6599,5799,12,1,1,None,,https://articulo.mercadolibre.com.pe/MPE-616736185-tv-sony-65x90k-65-pulgadas-4k-ultra-hd-smart-tv-google-_JM#position=46&search_layout=stack&type=item&tracking_id=61298ac8-411d-4ed2-a5f3-10198e83d8dd,22/03/2023 12:33:02,Sony,XR-65X90K,,,Sí,,,Android TV,Sí,Sí,,,,Sí,,,,,,,,,"65 """,4K,Sí,,,,,,,,,,,,,,,,Bravia XR,XR-65X90K,Negro,LCD,No,No,No,,,,,,8.5 ms,,,
26,Motorola Smart Tv 43  Fhd Webos Mot43fld01 Magic Control,PE,None,Televisores,S/,1067,992,7,5,1,None,,https://www.mercadolibre.com.pe/motorola-smart-tv-43-fhd-webos-mot43fld01-magic-control/p/MPE21029100?pdp_filters=category:MPE1002#searchVariation=MPE21029100&position=18&search_layout=stack&type=prod,22/03/2023 12:33:09,Motorola,MOT43FLD01,220V,,Sí,,,webOS,Sí,Sí,,,Sí,Sí,,,,,,,,,"43 """,HD,,,,,,,,6.7 kg,,,,,,,,,electro,,Negro,plana,No,No,No,,,,,,,,,95.8 cm x 58 cm
27,Tv LG Uhd 75'' Led 4k-smart Tv-webos- Procesador Ai Thinq,PE,None,Televisores,S/,4099,3299,19,1,1,None,,https://articulo.mercadolibre.com.pe/MPE-620832926-tv-lg-uhd-75-led-4k-smart-tv-webos-procesador-ai-thinq-_JM#position=48&search_layout=stack&type=item&tracking_id=61298ac8-411d-4ed2-a5f3-10198e83d8dd,22/03/2023 12:33:12,LG,75UP7760PSB,220V,,Sí,,,,Sí,Sí,,,,,,,,,,,,,"75 """,,,,,,,,,,,,,,,,,,,,Negro,,,No,No,,,,,,,,,
28,Televisor Samsung Smart Tv 43  Neo Qled 4k Mini Led Qn43qn90,PE,None,Televisores,S/,3799,3199,15,1,1,None,,https://articulo.mercadolibre.com.pe/MPE-618452212-televisor-samsung-smart-tv-43-neo-qled-4k-mini-led-qn43qn90-_JM#position=49&search_layout=stack&type=item&tracking_id=61298ac8-411d-4ed2-a5f3-10198e8,22/03/2023 12:33:15,Samsung,Smart TV,,,Sí,,,,,,,,,,,,,,,,,,"43 """,,,,,,,,,,,,,,,,,,The Frame,Samsung,,,,,,,,,,,,,,
29,Televisor Xiaomi Mi Tv P1 55 Pulgadas 4k Smart Tv 100v/240v ,PE,None,Televisores,S/,2009,1707,15,1,1,None,,https://articulo.mercadolibre.com.pe/MPE-621463220-televisor-xiaomi-mi-tv-p1-55-pulgadas-4k-smart-tv-100v240v-_JM#position=50&search_layout=stack&type=item&tracking_id=61298ac8-411d-4ed2-a5f3-10198e83,22/03/2023 12:33:18,Xiaomi,Mi TV P1 55,100V/240V,50 Hz x 60 Hz,Sí,4,16 GB,Android 10,Sí,Sí,3,2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Google Assistant,"Netflix,Prime Video","55 """,4K,Sí,3840 px - 2160 px,178°,178°,16:9,60 Hz,1234.9 mm x 89.2 mm x 724.6 mm,11.7 kg,1234.9 mm,285.3 mm,782.2 mm,11.9 kg,2,20 W,"DTS-HD,Dolby Audio","Base,Cable de alimentación,Control remoto,Manual,Tornillos",P1,,,,,,,,,,,,,,,
