,open,high,low,close,adjclose,volume,ticker
2020-06-22,2966.90087890625,2983.43798828125,2959.034912109375,2965.27197265625,2965.27197265625,267900,000001.SS
2020-06-23,2960.887939453125,2972.403076171875,2949.846923828125,2970.6201171875,2970.6201171875,225200,000001.SS
2020-06-24,2972.98291015625,2982.943115234375,2971.22412109375,2979.551025390625,2979.551025390625,213200,000001.SS
2020-06-29,2973.075927734375,2977.912109375,2951.77001953125,2961.51611328125,2961.51611328125,220600,000001.SS
2020-06-30,2965.10498046875,2990.824951171875,2965.10498046875,2984.674072265625,2984.674072265625,215000,000001.SS
2020-07-01,2991.180908203125,3026.18603515625,2984.98388671875,3025.98095703125,3025.98095703125,273300,000001.SS
2020-07-02,3023.718994140625,3092.443115234375,3021.674072265625,3090.569091796875,3090.569091796875,391100,000001.SS
2020-07-03,3103.9951171875,3152.81298828125,3103.9951171875,3152.81298828125,3152.81298828125,458800,000001.SS
2020-07-06,3187.839111328125,3337.27197265625,3187.839111328125,3332.881103515625,3332.881103515625,643900,000001.SS
2020-07-07,3380.9541015625,3407.0810546875,3336.241943359375,3345.3369140625,3345.3369140625,657800,000001.SS
2020-07-08,3337.552001953125,3421.531005859375,3327.7060546875,3403.43994140625,3403.43994140625,587100,000001.SS
2020-07-09,3403.48291015625,3456.971923828125,3393.637939453125,3450.593994140625,3450.593994140625,620000,000001.SS
2020-07-10,3418.93505859375,3433.10888671875,3372.507080078125,3383.322021484375,3383.322021484375,556100,000001.SS
2020-07-13,3379.386962890625,3458.791015625,3369.0380859375,3443.285888671875,3443.285888671875,558000,000001.SS
2020-07-14,3435.02392578125,3451.221923828125,3366.0830078125,3414.618896484375,3414.618896484375,543200,000001.SS
2020-07-15,3422.077880859375,3432.450927734375,3345.7490234375,3361.303955078125,3361.303955078125,492000,000001.SS
2020-07-16,3356.35888671875,3373.531982421875,3209.72705078125,3210.09912109375,3210.09912109375,490600,000001.SS
2020-07-17,3214.402099609375,3252.779052734375,3181.27490234375,3214.12890625,3214.12890625,359700,000001.SS
2020-07-20,3243.910888671875,3314.14892578125,3220.68408203125,3314.14892578125,3314.14892578125,418600,000001.SS
2020-07-21,3330.547119140625,3336.678955078125,3300.572021484375,3320.89501953125,3320.89501953125,359300,000001.SS
2020-07-22,3315.181884765625,3381.97607421875,3311.785888671875,3333.1640625,3333.1640625,393300,000001.SS
2020-07-23,3306.14892578125,3336.300048828125,3257.826904296875,3325.110107421875,3325.110107421875,407000,000001.SS
2020-07-24,3310.64501953125,3319.126953125,3184.965087890625,3196.76806640625,3196.76806640625,427100,000001.SS
2020-07-27,3210.385986328125,3221.985107421875,3174.657958984375,3205.22705078125,3205.22705078125,299300,000001.SS
2020-07-28,3226.133056640625,3245.297119140625,3208.493896484375,3227.9599609375,3227.9599609375,289400,000001.SS
2020-07-29,3221.988037109375,3294.552001953125,3209.989990234375,3294.552001953125,3294.552001953125,324900,000001.SS
2020-07-30,3299.572021484375,3312.450927734375,3282.162109375,3286.822021484375,3286.822021484375,340700,000001.SS
2020-07-31,3280.7958984375,3333.785888671875,3261.614013671875,3310.007080078125,3310.007080078125,353800,000001.SS
2020-08-03,3332.18310546875,3368.10302734375,3327.677001953125,3367.966064453125,3367.966064453125,407500,000001.SS
2020-08-04,3376.43994140625,3391.070068359375,3352.5,3371.68994140625,3371.68994140625,442300,000001.SS
2020-08-05,3363.330078125,3383.639892578125,3333.8798828125,3377.56005859375,3377.56005859375,385800,000001.SS
2020-08-06,3380.760009765625,3392.699951171875,3334.330078125,3386.4599609375,3386.4599609375,415300,000001.SS
