,open,high,low,close,adjclose,volume,ticker
2021-01-28,30640.0,33355.0,29860.0,32650.0,32650.0,7271.0,BTC=F
2021-01-29,33515.0,38755.0,32000.0,37242.30078125,37242.30078125,18198.0,BTC=F
2021-02-01,33315.0,35005.0,32530.0,34000.0,34000.0,6290.0,BTC=F
2021-02-02,33680.0,36370.0,33605.0,36170.0,36170.0,5830.0,BTC=F
2021-02-03,36015.0,37790.0,35740.0,37390.0,37390.0,4813.0,BTC=F
2021-02-04,37660.0,39200.0,36435.0,37915.0,37915.0,6039.0,BTC=F
2021-02-05,37700.0,38755.0,36895.0,38015.0,38015.0,4767.0,BTC=F
2021-02-08,39025.0,45500.0,38305.0,44755.0,44755.0,14369.0,BTC=F
2021-02-09,45210.0,48885.0,45175.0,47765.0,47765.0,11114.0,BTC=F
2021-02-10,47500.0,48060.0,43950.0,44915.0,44915.0,9743.0,BTC=F
2021-02-11,45615.0,49215.0,44345.0,47525.0,47525.0,9072.0,BTC=F
2021-02-12,48000.0,49500.0,46500.0,48040.0,48040.0,7532.0,BTC=F
2021-02-16,49415.0,51065.0,45950.0,48925.0,48925.0,15414.0,BTC=F
2021-02-17,49300.0,53210.0,49115.0,52785.0,52785.0,9780.0,BTC=F
2021-02-18,52680.0,53080.0,51250.0,52340.0,52340.0,8340.0,BTC=F
2021-02-19,52035.0,56575.0,50695.0,55530.0,55530.0,11457.0,BTC=F
2021-02-22,57450.0,57790.0,48320.0,53720.0,53720.0,18519.0,BTC=F
2021-02-23,54515.0,54515.0,44900.0,47660.0,47660.0,18212.0,BTC=F
2021-02-24,48450.0,51310.0,47010.0,49135.0,49135.0,8076.0,BTC=F
2021-02-25,48810.0,52040.0,48010.0,49120.0,49120.0,7065.0,BTC=F
2021-02-26,48165.0,48300.0,44270.0,47001.6015625,47001.6015625,10550.0,BTC=F
2021-03-01,45500.0,49985.0,45150.0,48870.0,48870.0,7199.0,BTC=F
