,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Color,Es smart,Es 3D,Es curvo,Es portátil,Sistema operativo,Tipo de pantalla,Tamaño de la pantalla,Tipo de resolución,Con HDR,Relación de contraste,Tiempo de respuesta,Con USB,Con HDMI,Con Wi-Fi,Con Bluetooth,Voltaje,Frecuencia,Con apagado automático,Con cables ocultos,Con sistema de montaje VESA incorporado,Ancho x Profundidad x Altura,Peso,Ancho con soporte,Profundidad con soporte,Altura con soporte,Peso con soporte,Accesorios incluidos,Con función screen share,Apps integradas,Resolución máxima,Relación de aspecto,Cantidad de puertos HDMI,Cantidad de puertos USB,Con ethernet,Con entrada S/PDIF,Con entrada de antena RF,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Brillo,Frecuencia de actualización de la pantalla,Con entrada por video componentes,Con entrada por video compuesto,Con comando de voz integrado,Asistentes virtuales integrados,Con VGA,Capacidad de almacenamiento,Es inflamable,Es kit,Ángulo de visión horizontal,Ángulo de visión vertical,Cantidad de núcleos del procesador,Países con control mágico incluido,Organismo de certificación (OCP),Número de certificado de seguridad eléctrica,Duración del producto,Profundidad,Ancho x Profundidad,Ancho x Altura,Con impacto positivo,Ancho
10,"Smart TV Motorola 91MT43E3A LED Full HD 43"" 220V",BR,4.9,Televisores,$,89999,73999,17,500,108,(108 disponibles),66,https://www.mercadolibre.com.ar/smart-tv-motorola-91mt43e3a-led-full-hd-43-220v/p/MLA21096754?pdp_filters=category:MLA1002#searchVariation=MLA21096754&position=10&search_layout=stack&type=product&trac,16/03/2023 05:20:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Smart TV Kanji KJ-4XTL005 LED HD 40"" 220V",BR,None,Televisores,$,80498,59198,26,1000,352,(352 disponibles),,https://www.mercadolibre.com.ar/smart-tv-kanji-kj-4xtl005-led-hd-40-220v/p/MLA18905890?pdp_filters=category:MLA1002#searchVariation=MLA18905890&position=11&search_layout=stack&type=product&tracking_id,16/03/2023 05:20:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Smart Noblex 50  91dk50x6550 4k Sistema Vidaa,BR,4.7,Televisores,$,139999,111499,20,100,136,(136 disponibles),14,https://www.mercadolibre.com.ar/smart-noblex-50-91dk50x6550-4k-sistema-vidaa/p/MLA20005522?pdp_filters=category:MLA1002#searchVariation=MLA20005522&position=12&search_layout=stack&type=product&trackin,16/03/2023 05:20:44,Noblex,DK-Series,DK50X6550,,Negro,Sí,No,No,No,,LED,"50 """,4K,,4000:1,,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Android Tv Philips Led Full Hd 43 Pulgadas Negro 43pfd6917 ,BR,4.6,Televisores,$,96999,72499,25,1000,427,(427 disponibles),99,https://articulo.mercadolibre.com.ar/MLA-1142536162-android-tv-philips-led-full-hd-43-pulgadas-negro-43pfd6917-_JM#position=37&search_layout=stack&type=item&tracking_id=b7fc89ce-eea9-4889-924e-15056b6,16/03/2023 05:20:51,Philips,SMART + ANDROID,43PFD6917,43PFD6917/77,Negro,Sí,No,No,No,Android 10,LED,"43 """,Full HD,Sí,,,Sí,Sí,Sí,Sí,110V/240V,50 Hz x 60 Hz,Sí,No,Sí,958 mm x 82 mm x 568 mm,7.2 kg,958 mm,227 mm,587 mm,7.13 kg,"Baterías,Cable de alimentación,Soporte para la mesa,Control remoto,Guía de instalación",Sí,"YouTube,Prime Video,Disney+,Google Play Movies & TV,Google Play Music,Netflix,Google Play Store",1920 px - 1080 px,16:9,3,2,Sí,Sí,Sí,2,16 W,"Dolby Atmos,Surround",,,No,No,Sí,Google Assistant,No,8 GB,No,No,,,,,,,,,,,,
14,Smart Tv 32 Philips Android Hd 32phd6917/77 110-240v,BR,None,Televisores,$,77999,54999,29,5,108,(108 disponibles),,https://www.mercadolibre.com.ar/smart-tv-32-philips-android-hd-32phd691777-110-240v/p/MLA19469208?pdp_filters=category:MLA1002#searchVariation=MLA19469208&position=13&search_layout=stack&type=product&,16/03/2023 05:20:58,Philips,SMART + ANDROID,32PHD6917,32PHD6917/77,Negro,Sí,,,,Android,LED,"32 """,HD,Sí,,,Sí,Sí,Sí,Sí,,,Sí,No,,71.6 cm x 7.6 cm x 43.3 cm,3.98 kg,71.6 cm,16.6 cm,45.3 cm,3.02 kg,,Sí,,1366 px - 768 px,,3,2,Sí,,Sí,2,5 W,Dolby Digital,,,,,Sí,,No,,,,,,,,,,,,,,,
15,"Smart TV Philips 7000 Series 50PUD7406/77 LED 4K 50"" 110V/240V",BR,None,Televisores,$,119999,114999,14,5,152,(152 disponibles),,https://www.mercadolibre.com.ar/smart-tv-philips-7000-series-50pud740677-led-4k-50-110v240v/p/MLA18607070?pdp_filters=category:MLA1002#searchVariation=MLA18607070&position=14&search_layout=stack&type=,16/03/2023 05:21:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Smart TV TCL L55P615 LED 4K 55"" 100V/240V",BR,4.7,Televisores,$,139999,115999,17,500,33,(33 disponibles),88,https://www.mercadolibre.com.ar/smart-tv-tcl-l55p615-led-4k-55-100v240v/p/MLA18103531?pdp_filters=category:MLA1002#searchVariation=MLA18103531&position=15&search_layout=stack&type=product&tracking_id=,16/03/2023 05:21:11,TCL,,L55P615,,,Sí,,,,Android Pie,LED,"55 """,4K,Sí,5000:1,6.5 ms,Sí,Sí,Sí,Sí,100V/240V,50 Hz x 60 Hz,,,Sí,123.9 cm x 8.4 cm x 72.1 cm,11 kg,,,,,"Base, Baterías, Cable de alimentación, Tornillos, Control remoto RC901V",Sí,"Google Play Store, Google Play Music, Netflix, YouTube, Google Play Movies & TV, Prime Video, Centro de medios, Disney+, Spotify",3840 px - 2160 px,16:9,3,1,Sí,,,2,19 W,Dolby Audio,270 cd/m²,60 Hz,,,Sí,"AI-IN, Google Assistant",,,,,178°,178°,,,,,,,,,,
17,"Smart TV Samsung Series 4 UN32T4300AGCZB LED HD 32"" 220V - 240V",BR,4.6,Televisores,$,79999,59999,25,10,146,(146 disponibles),1974,https://www.mercadolibre.com.ar/smart-tv-samsung-series-4-un32t4300agczb-led-hd-32-220v-240v/p/MLA17511464?pdp_filters=category:MLA1002#searchVariation=MLA17511464&position=16&search_layout=stack&type,16/03/2023 05:21:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Tv 32 Smart Full Hd 1366px 768px Led Dtv Netflix Youtube,BR,4.8,Televisores,$,64789,43498,32,100,350,(350 disponibles),17,https://articulo.mercadolibre.com.ar/MLA-1289285321-tv-32-smart-full-hd-1366px-768px-led-dtv-netflix-youtube-_JM#position=38&search_layout=stack&type=item&tracking_id=b7fc89ce-eea9-4889-924e-15056b6e5,16/03/2023 05:21:24,Kodak,High Definition Led Tv,WE-32MT005,WE-32MT005,Negro,Sí,No,No,No,,LED,"32 """,HD,,,,Sí,Sí,Sí,,220V,,,,Sí,,,,,,,,,"Netflix,YouTube",,16:9,3,2,Sí,,,2,,,,,,,,,Sí,,,,170°,,,,,,,,,,,
19,Smart Tv Samsung 2021 N43au7000gczb Uhd 4k Tizen Led 43'',BR,None,Televisores,$,135999,109999,19,100,296,(296 disponibles),,https://articulo.mercadolibre.com.ar/MLA-1107817740-smart-tv-samsung-2021-n43au7000gczb-uhd-4k-tizen-led-43-_JM#position=39&search_layout=stack&type=item&tracking_id=b7fc89ce-eea9-4889-924e-15056b6e57,16/03/2023 05:21:31,Samsung,2021,UN43AU7000GCZB,UN43AU7000GCZB,Negro,Sí,No,No,No,Tizen,LED,"43 """,4K,Sí,,,Sí,Sí,Sí,Sí,220V - 240V,50 Hz x 60 Hz,Sí,Sí,Sí,963.9 mm x 59.6 mm x 558.9 mm,8.1 kg,963.9 mm,192.5 mm,627.8 mm,8.3 kg,"Smart control TM2140A,Manual,Manual electrónico,Cable de alimentación,Adaptador AV,Baterías",Sí,"Web browser,Gallery,Netflix,Prime Video,Apple TV,YouTube",3840 px - 2160 px,16:9,3,1,Sí,Sí,Sí,2,20 W,"Dolby Digital Plus,Q-Symphony",,,,,,,,,,,,,,,,,,,,,,
