,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Color,Es smart,Es 3D,Es curvo,Es portátil,Sistema operativo,Tipo de pantalla,Tamaño de la pantalla,Tipo de resolución,Con HDR,Relación de contraste,Tiempo de respuesta,Con USB,Con HDMI,Con Wi-Fi,Con Bluetooth,Voltaje,Frecuencia,Con apagado automático,Con cables ocultos,Con sistema de montaje VESA incorporado,Ancho x Profundidad x Altura,Peso,Ancho con soporte,Profundidad con soporte,Altura con soporte,Peso con soporte,Accesorios incluidos,Con función screen share,Apps integradas,Resolución máxima,Relación de aspecto,Cantidad de puertos HDMI,Cantidad de puertos USB,Con ethernet,Con entrada S/PDIF,Con entrada de antena RF,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Brillo,Frecuencia de actualización de la pantalla,Con entrada por video componentes,Con entrada por video compuesto,Con comando de voz integrado,Asistentes virtuales integrados,Con VGA,Capacidad de almacenamiento,Es inflamable,Es kit,Ángulo de visión horizontal,Ángulo de visión vertical,Cantidad de núcleos del procesador,Países con control mágico incluido,Organismo de certificación (OCP),Número de certificado de seguridad eléctrica,Duración del producto,Profundidad,Ancho x Profundidad,Ancho x Altura,Con impacto positivo,Ancho
129,"Smart TV LG AI ThinQ 50UP7750PSB LCD 4K 50"" 100V/240V",BR,4.8,Televisores,$,,149999,7,1000,1,None,291,https://www.mercadolibre.com.ar/smart-tv-lg-ai-thinq-50up7750psb-lcd-4k-50-100v240v/p/MLA18518358?pdp_filters=category:MLA1002#searchVariation=MLA18518358&position=14&search_layout=stack&type=product&,16/03/2023 05:28:02,LG,AI ThinQ,50UP7750,50UP7750PSB,,Sí,,,,webOS 6.0,LCD,"50 """,4K,Sí,,,Sí,Sí,Sí,Sí,100V/240V,50 Hz x 60 Hz,Sí,,Sí,1121 mm x 57.1 mm x 651 mm,11.7 kg,1121 mm,231 mm,713 mm,11.9 kg,"Control remoto, Base, Cable de alimentación, Manual, Tornillos, Baterías",Sí,"Web browser, LG Content Store, Music Player, YouTube, Netflix, HBO Go, Apple TV, Disney+, Spotify, Movistar Play, Zapping TV, Prime Video",3840 px - 2160 px,16:9,,2,Sí,Sí,Sí,2,20 W,"Clear Voice, Ultra Surround, AI Sound, AI Acoustic Tuning, AI Sound Pro",,60 Hz,,,Sí,"Google Assistant, Alexa, ThinQ AI",No,,,,,,4,"Colombia, Brasil, Chile, Uruguay",,,,,,,,
130,Smart Tv Led 32  Hd 32a42h - Hisense,BR,None,Televisores,$,,49228,13,50,1,None,,https://www.mercadolibre.com.ar/smart-tv-led-32-hd-32a42h-hisense/p/MLA19938838?pdp_filters=category:MLA1002#searchVariation=MLA19938838&position=15&search_layout=stack&type=product&tracking_id=c566e8,16/03/2023 05:28:04,Hisense,,32A42H,,,Sí,No,No,,,LED,"32 """,HD,No,,,Sí,Sí,Sí,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Tv Led 40p L40s66e-f Fhd Smart Con Android Tcl,BR,5.0,Televisores,$,76319,68999,9,25,1,None,1,https://articulo.mercadolibre.com.ar/MLA-1150750961-tv-led-40p-l40s66e-f-fhd-smart-con-android-tcl-_JM#position=38&search_layout=stack&type=item&tracking_id=c566e829-aa3b-43ff-ba49-6091d9a04ec8,16/03/2023 05:28:06,TCL,S66E,L40S66EF,L40S66EF,Negro,Sí,No,No,No,,LED,"40 """,Full HD,Sí,,,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,"Netflix,YouTube,Spotify,Google Play Store",1920 px - 1078 px,,,,,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,
132,Smart Tv Siera 32 Led Stv3203 Hd Android,BR,4.6,Televisores,$,,45777,,100,1,None,10,https://www.mercadolibre.com.ar/smart-tv-siera-32-led-stv3203-hd-android/p/MLA20005492?pdp_filters=category:MLA1002#searchVariation=MLA20005492&position=16&search_layout=stack&type=product&tracking_id,16/03/2023 05:28:09,Siera,STV3203,STV3203,STV3203,Negro,Sí,No,No,,Android 11,LED,"32 """,HD,No,,,No,Sí,Sí,Sí,,,,,,,,73.1 cm,,73.1 cm,3.8 kg,,,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Smart Tv Led Samsung 50 Series 7 Au7000 Uhd Crystal 4k ,BR,None,Televisores,$,135159,124000,8,5,1,None,,https://articulo.mercadolibre.com.ar/MLA-1356405015-smart-tv-led-samsung-50-series-7-au7000-uhd-crystal-4k-_JM#position=39&search_layout=stack&type=item&tracking_id=c566e829-aa3b-43ff-ba49-6091d9a04ec,16/03/2023 05:28:12,Samsung,Series 7,UN50AU7000G,UN50AU7000GCZB,,Sí,,,,Tizen,LED,"50 """,4K,Sí,,,Sí,Sí,Sí,Sí,220V - 240V,50 Hz x 60 Hz,Sí,Sí,Sí,1116.8 mm x 59.9 mm x 644.2 mm,11.4 kg,1116.8 mm,250.2 mm,719.1 mm,11.6 kg,"Smart control TM2140A,Baterías,Manual,Cable de alimentación,Adaptador AV,Manual electrónico",Sí,"Web browser,Gallery,Netflix,Prime Video,Apple TV,YouTube",3840 px - 2160 px,16:9,3,1,Sí,Sí,Sí,2,20 W,"Dolby Digital Plus,Q-Symphony",,,,,,,,,,,,,,,,,,,,,,
134,"Smart TV Samsung Series 7 UN55AU7000GXUG LED 4K 55"" 100V/240V",BR,4.5,Televisores,$,,159998,10,500,1,None,53,https://www.mercadolibre.com.ar/smart-tv-samsung-series-7-un55au7000gxug-led-4k-55-100v240v/p/MLA18437318?pdp_filters=category:MLA1002#searchVariation=MLA18437318&position=17&search_layout=stack&type=,16/03/2023 05:28:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,"Smart TV LG AI ThinQ 43LM6350PSB LED Full HD 43"" 220V",BR,4.7,Televisores,$,113999,105499,7,1000,1,None,423,https://www.mercadolibre.com.ar/smart-tv-lg-ai-thinq-43lm6350psb-led-full-hd-43-220v/p/MLA16119783?pdp_filters=category:MLA1002#searchVariation=MLA16119783&position=18&search_layout=stack&type=product,16/03/2023 05:28:16,LG,AI ThinQ,43LM6350,43LM6350PSB,,Sí,,,,webOS 4.0,LED,"43 """,Full HD,,,,Sí,Sí,Sí,Sí,220V,,,,,736 mm x 180 mm x 464 mm,8.1 kg,,,,,"Control remoto, Cable de alimentación",,,1920 px - 1080 px,16:9,3,2,,,,,20 W,,,,,,,,,,,,,,4,,,,,,,,,
136,Noblex Smart Tv  Dk32x7000 32  Control De Voz Android Google,BR,4.9,Televisores,$,,51999,,50,1,None,9,https://articulo.mercadolibre.com.ar/MLA-1249465868-noblex-smart-tv-dk32x7000-32-control-de-voz-android-google-_JM#position=40&search_layout=stack&type=item&tracking_id=c566e829-aa3b-43ff-ba49-6091d9a,16/03/2023 05:28:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"Smart TV Samsung The Frame QN55LS03BAGXZS QLED 4K 55"" 100V/240V",BR,None,Televisores,$,,449999,,1,1,None,,https://www.mercadolibre.com.ar/smart-tv-samsung-the-frame-qn55ls03bagxzs-qled-4k-55-100v240v/p/MLA19739064?pdp_filters=category:MLA1002#searchVariation=MLA19739064&position=19&search_layout=stack&typ,16/03/2023 05:28:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Smart Tv Hyundai 50 4k Televisor Google Android,BR,None,Televisores,$,142057,93757,34,5,1,None,,https://articulo.mercadolibre.com.ar/MLA-1149149558-smart-tv-hyundai-50-4k-televisor-google-android-_JM#position=41&search_layout=stack&type=item&tracking_id=c566e829-aa3b-43ff-ba49-6091d9a04ec8,16/03/2023 05:28:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Smart Tv Tcl 32 Hd 32s61e Android Tv,BR,None,Televisores,$,,53999,,1,1,None,,https://articulo.mercadolibre.com.ar/MLA-1327009042-smart-tv-tcl-32-hd-32s61e-android-tv-_JM#position=42&search_layout=stack&type=item&tracking_id=c566e829-aa3b-43ff-ba49-6091d9a04ec8,16/03/2023 05:28:25,TCL,S61E,L32S61E-F,,Negro,Sí,No,No,,,LED,"32 """,HD,Sí,,,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,1366 px - 768 px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Samsung 55  The Frame Art Mode 4k Smart Tv Ls03b Beige,BR,None,Televisores,$,,449999,,1,1,None,,https://articulo.mercadolibre.com.ar/MLA-1361870992-samsung-55-the-frame-art-mode-4k-smart-tv-ls03b-beige-_JM#position=43&search_layout=stack&type=item&tracking_id=c566e829-aa3b-43ff-ba49-6091d9a04ec8,16/03/2023 05:28:28,Samsung,The Frame,QN55LS03BAG,QN55LS03BAGXZS,Beige,Sí,No,No,No,Tizen,QLED,"55 """,4K,Sí,,,Sí,Sí,Sí,Sí,100V/240V,50 Hz x 60 Hz,Sí,Sí,Sí,1237.9 mm x 24.9 mm x 708.8 mm,16.9 kg,1237.9 mm,227.8 mm,743.4 mm,17.3 kg,,Sí,,3840 px - 2160 px,16:9,4,2,Sí,Sí,Sí,4,40 W,,,,,,Sí,Bixby,,,,,,,,,,,1 años,,,,,
141,Smart Tv 50 Pulgadas 4k Ultra Hd 50uq8050psb - LG,BR,None,Televisores,$,,194999,,1,1,None,,https://articulo.mercadolibre.com.ar/MLA-1345897173-smart-tv-50-pulgadas-4k-ultra-hd-50uq8050psb-lg-_JM#position=44&search_layout=stack&type=item&tracking_id=c566e829-aa3b-43ff-ba49-6091d9a04ec8,16/03/2023 05:28:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Tv Led Smart Hd 32p C32and Con Android Rca,BR,4.4,Televisores,$,,60749,,100,1,None,24,https://www.mercadolibre.com.ar/tv-led-smart-hd-32p-c32and-con-android-rca/p/MLA19693856?pdp_filters=category:MLA1002#searchVariation=MLA19693856&position=20&search_layout=stack&type=product&tracking_,16/03/2023 05:28:32,RCA,,C32AND,,Negro,Sí,No,No,,,LED,"32 """,HD,No,,,Sí,Sí,Sí,,,,,,,,,,,,,,,,1366 px - 768 px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,"Smart TV Admiral AD32E3A LED HD 32"" 220V",BR,None,Televisores,$,,,,,1,None,,https://www.mercadolibre.com.ar/smart-tv-admiral-ad32e3a-led-hd-32-220v/p/MLA19863340?pdp_filters=category:MLA1002#searchVariation=MLA19863340&position=48&search_layout=stack&type=product&tracking_id=,16/03/2023 05:28:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Smart Tv Enova 43 Pulgadas  43g2s-tdfa Full Hd Led Netflix,BR,None,Televisores,$,,71999,,5,1,None,,https://articulo.mercadolibre.com.ar/MLA-1313936547-smart-tv-enova-43-pulgadas-43g2s-tdfa-full-hd-led-netflix-_JM#position=45&search_layout=stack&type=item&tracking_id=c566e829-aa3b-43ff-ba49-6091d9a0,16/03/2023 05:28:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,"Smart Tv Hd Kanji Kj-32mt005 32  Frameless Netflix, Youtube,",BR,4.8,Televisores,$,45989,43009,6,50,1,None,6,https://articulo.mercadolibre.com.ar/MLA-1258657404-smart-tv-hd-kanji-kj-32mt005-32-frameless-netflix-youtube-_JM#position=46&search_layout=stack&type=item&tracking_id=c566e829-aa3b-43ff-ba49-6091d9a0,16/03/2023 05:28:39,Kanji,Smart,KJ-32MT005,,Negro,Sí,No,,,,LED,"32 """,HD,,,,Sí,Sí,Sí,,220V,,,,,72.8 cm x 9 cm x 43.5 cm,,,,,,Control remoto,,"Netflix,YouTube",1366 px - 768 px,16:9,3,2,Sí,,,2,,,,,,,,,Sí,8 GB,,,170°,160°,4,,,,,,,,,
146,Smart Tv Philips 7000 Series 50pud7406/77 Led 4k 50  ,BR,None,Televisores,$,,111461,,1,1,None,,https://articulo.mercadolibre.com.ar/MLA-1273977963-smart-tv-philips-7000-series-50pud740677-led-4k-50-_JM#position=47&search_layout=stack&type=item&tracking_id=c566e829-aa3b-43ff-ba49-6091d9a04ec8,16/03/2023 05:28:41,Philips,7000 Series,50PUD7406,50PUD7406/77,,Sí,,,,Android 10,LED,"50 """,4K,Sí,,,Sí,Sí,Sí,Sí,110V/240V,50 Hz x 60 Hz,Sí,,Sí,1113 mm x 87.2 mm x 647.3 mm,11.3 kg,1113 mm,248 mm,678 mm,11.5 kg,"Baterías,Cable de alimentación,Control remoto,Guía de instalación,Manual,Manual electrónico,Soporte para la mesa",,"Disney+,Netflix,Prime Video,YouTube",3840 px - 2160 px,16:9,4,2,Sí,Sí,Sí,2,20 W,"AI Sound,Dolby Atmos",,,,,Sí,Google Assistant,,8 GB,,,,,4,,,,,,,,,
147,Smart Tv 4k Dtv Usb Led 50 Pulgadas Hdmi Netflix Youtube,BR,4.5,Televisores,$,,120098,,100,1,None,11,https://articulo.mercadolibre.com.ar/MLA-1247758926-smart-tv-4k-dtv-usb-led-50-pulgadas-hdmi-netflix-youtube-_JM#position=48&search_layout=stack&type=item&tracking_id=c566e829-aa3b-43ff-ba49-6091d9a04,16/03/2023 05:28:42,Kodak,Smartvision,WE-50ST005,WE-50ST005,Negro,Sí,No,No,No,Smartvision,LED,"50 """,UHD,Sí,5000:1,8 ms,Sí,Sí,Sí,,220V,50 Hz,Sí,No,Sí,123 cm x 649 mm x 77.3 cm,12.5 kg,,,,,,,"Netflix,YouTube",3840 px - 2160 px,16:9,3,2,Sí,Sí,Sí,2,8 W,Dolby Digital,250 cd/m²,50 Hz,Sí,No,No,,No,,,,,,4,,,,,,,,,
148,Smart Tv 32 Philips Android Tv Hd Blanco 32phd6927/77,BR,None,Televisores,$,,62116,,5,1,None,,https://articulo.mercadolibre.com.ar/MLA-1219956904-smart-tv-32-philips-android-tv-hd-blanco-32phd692777-_JM#position=49&search_layout=stack&type=item&tracking_id=c566e829-aa3b-43ff-ba49-6091d9a04ec8,16/03/2023 05:28:43,Philips,SMART + ANDROID,32PHD6927,32PHD6927/77,Blanco,Sí,,,,Android,LED,"32 """,HD,Sí,,,Sí,Sí,Sí,Sí,110V/240V,,Sí,,,71.6 cm x 7.6 cm x 43.3 cm,3.98 kg,71.6 cm,16.6 cm,45.3 cm,3 kg,"Baterías,Cable de alimentación,Control remoto,Guía de instalación,Manual,Soporte para la mesa",Sí,,,,,2,Sí,,Sí,2,3 W,Dolby Digital,,,,,Sí,,,,,,,,,,,,,,,,,
149,"Smart TV Samsung Neo QLED 4K QN43QN90BAGCZB QLED 4K 43"" 220V - 240V",BR,4.8,Televisores,$,339899,329999,,100,1,None,73,https://www.mercadolibre.com.ar/smart-tv-samsung-neo-qled-4k-qn43qn90bagczb-qled-4k-43-220v-240v/p/MLA19787254?pdp_filters=category:MLA1002#searchVariation=MLA19787254&position=22&search_layout=stack&,16/03/2023 05:28:46,Samsung,Neo QLED 4K,QN43QN90BAG,QN43QN90BAGCZB,,Sí,,No,,Tizen,QLED,"43 """,4K,Sí,,,Sí,Sí,Sí,Sí,220V - 240V,50 Hz x 60 Hz,Sí,,Sí,960.8 mm x 26.9 mm x 558.9 mm,9.2 kg,960.8 mm,223 mm,623.4 mm,13.8 kg,"Smart control TM2280E, Manual electrónico, Manual, Cable de alimentación",Sí,"SmartThings, Web browser",3840 px - 2160 px,16:9,4,2,Sí,Sí,Sí,2,20 W,"Dolby Atmos, Dolby Digital Plus, Adaptive Sound +, OTS-Lite, Q-Symphony, Surround",,100 Hz,,,Sí,Bixby,,,,,,,,,,,,,,,,
150,"Smart TV RCA L49NXTSMART LED Full HD 49"" 110V/240V",BR,4.7,Televisores,$,,137998,,100,1,None,35,https://www.mercadolibre.com.ar/smart-tv-rca-l49nxtsmart-led-full-hd-49-110v240v/p/MLA8060004?pdp_filters=category:MLA1002#searchVariation=MLA8060004&position=23&search_layout=stack&type=product&track,16/03/2023 05:28:49,RCA,,L49NXTSMART,,,Sí,,,,,LED,"49 """,Full HD,,,,Sí,Sí,Sí,,110V/240V,50 Hz x 60 Hz,,,,,,110.29 cm,21.7 cm,70.35 cm,11.5 kg,"Control remoto, Cable de alimentación, Tornillos, Base, Guía de instalación",,"YouTube, Netflix, Web browser",1920 px - 1080 px,16:9,3,2,Sí,Sí,Sí,2,16 W,"Stereo, Mono",,,,Sí,,,,,,,,,,,,,,,,,,
151,None,BR,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=QnHAzM0qukYCtCb52p3tPt4Jq3%2FFnlh7%2B6fh0I98kdgoyWn0Ow5E9aQQZNSeWrFfJrLX8Vv69X01hD0pqDouXFHKIpPo6XN59GljRFPFWEgpHUESzzvZdzb8VE%2BS,16/03/2023 05:28:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Smart Tv Led 43  Philips 43pfd6917/77 Full Hd Android,BR,4.5,Televisores,$,77207,72599,5,100,1,None,6,https://articulo.mercadolibre.com.ar/MLA-1146074751-smart-tv-led-43-philips-43pfd691777-full-hd-android-_JM#position=17&search_layout=stack&type=item&tracking_id=5ae63feb-4a2b-492b-ad49-0695193d6d08,16/03/2023 05:28:54,Philips,6900 Series,43PFD6917,43PFD6917/77,Negro,Sí,No,No,No,Android 10,LED,"43 """,Full HD,Sí,,,Sí,Sí,Sí,Sí,110V/240V,50 Hz x 60 Hz,Sí,,Sí,958 mm x 82 mm x 568 mm,7.2 kg,958 mm,227 mm,587 mm,7.13 kg,"Baterías,Cable de alimentación,Soporte para la mesa,Control remoto,Guía de instalación",,"YouTube,Prime Video,Disney+,Google Play Movies & TV,Google Play Music,Netflix,Google Play Store",1920 px - 1080 px,16:9,3,2,Sí,Sí,Sí,2,16 W,"Dolby Atmos,Surround",,,,,Sí,Google Assistant,,8 GB,,,,,,,,,,,,,,
153, Smart Tv Noblex Db58x7500 58  Led 4k Android Tv,BR,None,Televisores,$,154999,144999,6,1000,1,None,,https://www.mercadolibre.com.ar/smart-tv-noblex-db58x7500-58-led-4k-android-tv/p/MLA19693852?pdp_filters=category:MLA1002#searchVariation=MLA19693852&position=2&search_layout=stack&type=product&tracki,16/03/2023 05:28:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154, Smart Tv 50 Pulgadas Kanji Led Ultra Hd 4k Entrada Hdmi,BR,5.0,Televisores,$,,101048,9,25,1,None,2,https://articulo.mercadolibre.com.ar/MLA-932855444-smart-tv-50-pulgadas-kanji-led-ultra-hd-4k-entrada-hdmi-_JM#position=18&search_layout=stack&type=item&tracking_id=5ae63feb-4a2b-492b-ad49-0695193d6d0,16/03/2023 05:28:59,Kanji,Smart,KJ-50ST005,KJ-50ST005,Negro,Sí,No,No,No,Android KitKat,LED,"50 """,4K,Sí,3000:1,8 ms,Sí,Sí,Sí,Sí,,,Sí,,Sí,113 cm x 8 cm x 65 cm,,,,,,Control remoto,,"Netflix,YouTube",3840 px - 2160 px,16:9,3,2,Sí,Sí,Sí,,16 W,"Stereo,Dolby Digital",350 cd/m²,60 Hz,,,Sí,,No,8 GB,,,176°,176°,4,Argentina,Otro (sin especificar),,,,,,,
155,Smart Tv 55 Hitachi Cdh-le554ksmart21 4k Android,BR,None,Televisores,$,139999,126999,9,5,1,None,,https://articulo.mercadolibre.com.ar/MLA-1135926076-smart-tv-55-hitachi-cdh-le554ksmart21-4k-android-_JM#position=19&search_layout=stack&type=item&tracking_id=5ae63feb-4a2b-492b-ad49-0695193d6d08,16/03/2023 05:29:01,Hitachi,"Smart TV 55"" 4K Android TV",CDH-LE554KSMART21,CDH-LE554KSMART21,Negro,Sí,No,No,No,Android TV,LED,"55 """,4K,Sí,,,Sí,Sí,Sí,Sí,220V,,,,,123.9 cm x 8.4 cm x 72.1 cm,,123.9 cm,30.47 cm,77.4 cm,11.2 kg,,Sí,"Netflix,YouTube",3840 px - 2160 px,16:9,3,1,Sí,Sí,Sí,2,19 W,"Dolby Audio,MTS,SAP,Stereo",,,,Sí,Sí,,,16 GB,,,,,,,,,,,,,,
156,"Smart TV Hitachi CDH-LE40SMART21 Full HD 40"" 220V",BR,None,Televisores,$,,84999,22,1000,1,None,,https://www.mercadolibre.com.ar/smart-tv-hitachi-cdh-le40smart21-full-hd-40-220v/p/MLA19477006?pdp_filters=category:MLA1002#searchVariation=MLA19477006&position=3&search_layout=stack&type=product&trac,16/03/2023 05:29:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Tv Smart LG Nanocell 55  4k 55nano80,BR,None,Televisores,$,,207699,,5,1,None,,https://articulo.mercadolibre.com.ar/MLA-1127075969-tv-smart-lg-nanocell-55-4k-55nano80-_JM#position=20&search_layout=stack&type=item&tracking_id=5ae63feb-4a2b-492b-ad49-0695193d6d08,16/03/2023 05:29:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Smart Tv Motorola 50 Led Mt50y003a1b 4k Android Tv,BR,None,Televisores,$,,107399,9,50,1,None,,https://www.mercadolibre.com.ar/smart-tv-motorola-50-led-mt50y003a1b-4k-android-tv/p/MLA20005462?pdp_filters=category:MLA1002#searchVariation=MLA20005462&position=4&search_layout=stack&type=product&tr,16/03/2023 05:29:08,Motorola,,MT50Y003A1B,MT50Y003A1B,Negro,Sí,No,No,No,,LED,"50 """,4K,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Smart Tv 4k 55  LG 55up7750psb,BR,None,Televisores,$,,144999,,100,1,None,,https://articulo.mercadolibre.com.ar/MLA-1128030992-smart-tv-4k-55-lg-55up7750psb-_JM#position=21&search_layout=stack&type=item&tracking_id=5ae63feb-4a2b-492b-ad49-0695193d6d08,16/03/2023 05:29:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Smart Tv LG 32lq630bpsa 32 Pulgadas Wifi Bluetooth Thinq Ai,BR,None,Televisores,$,129849,84399,35,1,1,None,,https://articulo.mercadolibre.com.ar/MLA-1361451935-smart-tv-lg-32lq630bpsa-32-pulgadas-wifi-bluetooth-thinq-ai-_JM#position=22&search_layout=stack&type=item&tracking_id=5ae63feb-4a2b-492b-ad49-069519,16/03/2023 05:29:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Led Smart Tv 43'' Daihatsu Dht43ch Fhd Android Tv,BR,None,Televisores,$,,72999,,5,1,None,,https://articulo.mercadolibre.com.ar/MLA-1220969512-led-smart-tv-43-daihatsu-dht43ch-fhd-android-tv-_JM#position=23&search_layout=stack&type=item&tracking_id=5ae63feb-4a2b-492b-ad49-0695193d6d08,16/03/2023 05:29:15,Daihatsu,ANDROID TV,DHT43CH,DHT43CH,Negro,Sí,No,No,,,LED,"43 """,Full HD,,,8 ms,Sí,Sí,Sí,No,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,No,,,,,,,,,,,83 mm,,,,
162,Tv Smart 50  Uhd 4k Android Rca C50and-f,BR,None,Televisores,$,,105999,,1,1,None,,https://articulo.mercadolibre.com.ar/MLA-1340761140-tv-smart-50-uhd-4k-android-rca-c50and-f-_JM#position=24&search_layout=stack&type=item&tracking_id=5ae63feb-4a2b-492b-ad49-0695193d6d08,16/03/2023 05:29:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Televisor Samsung 55  Smart Tv Crystal Uhd 4k Au7000,BR,4.8,Televisores,$,184999,159999,13,100,1,None,8,https://articulo.mercadolibre.com.ar/MLA-1131868812-televisor-samsung-55-smart-tv-crystal-uhd-4k-au7000-_JM#position=25&search_layout=stack&type=item&tracking_id=5ae63feb-4a2b-492b-ad49-0695193d6d08,16/03/2023 05:29:20,Samsung,Series 7,UN55AU7000G,UN55AU7000GCZB,,Sí,,,,Tizen,LED,"55 """,4K,Sí,,,Sí,Sí,Sí,Sí,220V - 240V,50 Hz x 60 Hz,Sí,Sí,Sí,1230.5 mm x 59.9 mm x 707.2 mm,13.9 kg,1230.5 mm,250.2 mm,783.3 mm,14.2 kg,"Adaptador AV,Cable de alimentación,Control remoto TM2140A,Manual,Manual electrónico",Sí,"Apple TV,Gallery,Netflix,Prime Video,Web browser,YouTube TV",3840 px - 2160 px,16:9,3,1,Sí,Sí,Sí,2,20 W,"Adaptive Sound,Dolby Digital Plus,Q-Symphony",,,,,,,,,,,,,,,,,,,,,,
164,Smart Tv Enova 50 Pulgadas 4k Uhd Android Tv Frameless,BR,None,Televisores,$,,200000,,1,1,None,,https://articulo.mercadolibre.com.ar/MLA-1305970061-smart-tv-enova-50-pulgadas-4k-uhd-android-tv-frameless-_JM#position=26&search_layout=stack&type=item&tracking_id=5ae63feb-4a2b-492b-ad49-0695193d6d0,16/03/2023 05:29:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Smart Tv Full Hd 40 Pulgadas Hitachi Le40smart21 Android Voz,BR,None,Televisores,$,,84999,,25,1,None,,https://articulo.mercadolibre.com.ar/MLA-1143451516-smart-tv-full-hd-40-pulgadas-hitachi-le40smart21-android-voz-_JM#position=27&search_layout=stack&type=item&tracking_id=5ae63feb-4a2b-492b-ad49-06951,16/03/2023 05:29:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Televisor Smart Tv Samsung Series 7 Led 4k 50  Hdmi Usb Ref (Reacondicionado),BR,None,Televisores,$,,109999,19,5,1,None,,https://articulo.mercadolibre.com.ar/MLA-1172536129-televisor-smart-tv-samsung-series-7-led-4k-50-hdmi-usb-ref-_JM#position=28&search_layout=stack&type=item&tracking_id=5ae63feb-4a2b-492b-ad49-0695193,16/03/2023 05:29:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
