,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Tamaño de la pantalla,Es smart,Con USB,Con HDMI,Color,Voltaje,Tipo de resolución,Es curvo,Es 3D,Tipo de pantalla,Con HDR,Es portátil,Con apagado automático,Cantidad de puertos HDMI,Cantidad de puertos USB,Con Wi-Fi,Con Bluetooth,Con ethernet,Con VGA,Resolución máxima,Relación de aspecto,Brillo,Tiempo de respuesta,Ancho x Profundidad x Altura,Peso,Cantidad de parlantes,Potencia máxima de los parlantes,Accesorios incluidos,Apps integradas,Ancho,Es inflamable,Es kit,Capacidad de almacenamiento,Sistema operativo,Frecuencia de actualización de la pantalla,Modos de sonido,Frecuencia
36,Tv Smart Tv Aiwa 32 Pulgadas,BO,None,Televisores,$,,12500,,,1,None,,https://articulo.mercadolibre.com.do/MRD-525997941-tv-smart-tv-aiwa-32-pulgadas-_JM#position=43&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:05:50,"alwa 32"" AW32B4SM

NETFLIX

9/104439

HD

720p",Aiwa,9/104439,HD,"32 """,Sí,Sí,Sí,Negro,110V/220V,HD,,,Plasma,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Smart Tv 50 Pulgada ,BO,None,Televisores,$,,17000,,,1,None,,https://articulo.mercadolibre.com.do/MRD-526217982-smart-tv-50-pulgada-_JM#position=50&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:06:10,LG,Smart TV,,,"50 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Hisense Serie A4 Smart Tv Fhd De 40 Pulgadas Con Android,DO,None,Televisores,$,,6500,,,1,None,,https://articulo.mercadolibre.com.do/MRD-526574504-hisense-serie-a4-smart-tv-fhd-de-40-pulgadas-con-android-_JM#position=1&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d04255,22/03/2023 09:13:07,Hisense,A4 Series,40A4H,40A4H,"24 """,Sí,,,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Control Smart Tv ,DO,None,Televisores,$,,1495,,1,1,None,,https://articulo.mercadolibre.com.do/MRD-528109524-control-smart-tv-_JM#position=2&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:13:11,,,,,,Sí,Sí,,,DC 5 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Tecnomaster Smart Tv Control Remoto,DO,None,Televisores,$,,800,,,1,None,,https://articulo.mercadolibre.com.do/MRD-525047273-tecnomaster-smart-tv-control-remoto-_JM#position=3&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:13:14,tecnomaster,,,,"32 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,LG C2pua 42  4k Hdr Smart Oled Evo Tv,DO,None,Televisores,U$S,,650,,,1,None,,https://articulo.mercadolibre.com.do/MRD-525347561-lg-c2pua-42-4k-hdr-smart-oled-evo-tv-_JM#position=4&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:13:18,LG,C2PUA,LGOLED42C2,OLED42C2PUA,"42 """,Sí,,,Negro,110V/220V,4K,,,OLED,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Smart Tv 50 Pulgadas (8 29-) -6 60- 9520-,DO,None,Televisores,$,,17000,,,1,None,,https://articulo.mercadolibre.com.do/MRD-526217499-smart-tv-50-pulgadas-8-29-6-60-9520--_JM#position=5&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:13:21,LG,Smart TV,,,"50 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Smart Tv 55 Pulgadas (8 29-) -6 60- 9520-,DO,None,Televisores,$,,24000,,,1,None,,https://articulo.mercadolibre.com.do/MRD-526217504-smart-tv-55-pulgadas-8-29-6-60-9520--_JM#position=6&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:13:25,Samsung,TV,Smart TV,,"55 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Smart Tv 50 Pulgadas (8 29-) -6 60- 9520-,DO,None,Televisores,$,,17000,,,1,None,,https://articulo.mercadolibre.com.do/MRD-526230518-smart-tv-50-pulgadas-8-29-6-60-9520--_JM#position=7&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:13:28,LG,Smart TV,,,"50 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Smart Tv 32 Pulgadas (8 29-) -6 60- 9520-,DO,None,Televisores,$,,8000,,,1,None,,https://articulo.mercadolibre.com.do/MRD-526263041-smart-tv-32-pulgadas-8-29-6-60-9520--_JM#position=9&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:13:35,Samsung,TV,Smart TV,,"32 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
