,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Color,Voltaje,Es smart,Es 3D,Es curvo,Es portátil,Sistema operativo,Con sistema de montaje VESA incorporado,Ancho x Profundidad x Altura,Peso,Ancho con soporte,Profundidad con soporte,Altura con soporte,Peso con soporte,Cantidad de parlantes,Potencia máxima de los parlantes,Con comando de voz integrado,Asistentes virtuales integrados,Apps integradas,Tipo de pantalla,Tamaño de la pantalla,Tipo de resolución,Con HDR,Resolución máxima,Relación de aspecto,Relación de contraste,Brillo,Tiempo de respuesta,Frecuencia de actualización de la pantalla,Con USB,Con HDMI,Cantidad de puertos HDMI,Cantidad de puertos USB,Con Wi-Fi,Con Bluetooth,Con ethernet,Con VGA,Con entrada de antena RF,Accesorios incluidos,Frecuencia,Con apagado automático,Con cables ocultos,Con función screen share,Con entrada S/PDIF,Modos de sonido,Capacidad de almacenamiento,Ancho x Altura,Con entrada por video componentes,Con entrada por video compuesto,Ángulo de visión horizontal,Ángulo de visión vertical,Cantidad de núcleos del procesador,Es inflamable,Es kit,Ancho,Países con control mágico incluido,Organismo de certificación (OCP),Con impacto positivo,Ancho x Profundidad
31,Smart Tv Led Philco De 39 Pld39hs21lch Hdmi Usb Tio Musa,AR,4.5,Televisores,pesos,,62599,24,100,62599,(3 disponibles),13,https://articulo.mercadolibre.com.ar/MLA-1142712139-smart-tv-led-philco-de-39-pld39hs21lch-hdmi-usb-tio-musa-_JM#position=47&search_layout=stack&type=item&tracking_id=fc07d567-169f-4cf7-bf96-24a4d733f,05/04/2023 14:56:35,Philco,PLD39HS21LCH,PLD39HS21LCH,PLD39HS21LCH,,220V,Sí,No,No,No,,Sí,887 mm x 80.9 mm x 513.2 mm,,887 mm,180 mm,930 mm,,2,16 W,,,Netflix,LED,"39 """,HD,No,1366 px - 768 px,16:9,3000:1,200 cd/m²,,,Sí,Sí,3,2,Sí,,,,,,,,,,,,,,,,,,,,,,,,,
32,Televisor Smart 50 Pulgadas Led 4k Con Control Remoto Hdmi ,AR,4.5,Televisores,pesos,,174499,24,100,174499,(7 disponibles),30,https://articulo.mercadolibre.com.ar/MLA-1128666263-televisor-smart-50-pulgadas-led-4k-con-control-remoto-hdmi-_JM#position=48&search_layout=stack&type=item&tracking_id=fc07d567-169f-4cf7-bf96-24a4d73,05/04/2023 14:56:50,Kanji,Smart,KJ-50ST005,KJ-50ST005,Negro,100V/240V,Sí,No,No,No,Android KitKat,Sí,113 cm x 8 cm x 65 cm,,,,,,2,16 W,Sí,,"Netflix,YouTube",LED,"50 """,4K,Sí,3840 px - 2160 px,16:9,3000:1,350 cd/m²,8 ms,60 Hz,Sí,Sí,3,2,Sí,Sí,Sí,No,Sí,Control remoto,50 Hz x 60 Hz,Sí,,,Sí,"Stereo,Dolby Digital",8 GB,,,,176°,176°,4,,,,Argentina,Otro (sin especificar),,
33,Smart Tv Samsung Neo Qled 4k Qn90b 43 Mini Led 144hz 20w Rms,AR,None,Televisores,pesos,349999,269999,22,5,269999,(7 disponibles),,https://articulo.mercadolibre.com.ar/MLA-1325680334-smart-tv-samsung-neo-qled-4k-qn90b-43-mini-led-144hz-20w-rms-_JM#position=49&search_layout=stack&type=item&tracking_id=fc07d567-169f-4cf7-bf96-24a4d,05/04/2023 14:57:06,Samsung,Neo QLED 4K,QN43QN90BAG,QN43QN90BAGCZB,Negro,220V - 240V,Sí,No,No,No,Tizen,Sí,960.8 mm x 26.9 mm x 558.9 mm,9.2 kg,960.8 mm,223 mm,623.4 mm,13.8 kg,2,20 W,Sí,Bixby,"SmartThings,Web browser",QLED,"43 """,4K,Sí,3840 px - 2160 px,16:9,,,,100 Hz,Sí,Sí,4,2,Sí,Sí,Sí,,Sí,"Smart control TM2280E,Manual electrónico,Manual,Cable de alimentación",50 Hz x 60 Hz,Sí,,Sí,Sí,"Dolby Atmos,Dolby Digital Plus,Adaptive Sound +,OTS-Lite,Q-Symphony,Surround",,,,,,,,,,,,,,
34,Smart Tv Samsung Qled Qn65q65bagczb 4k 65 100v/240v,AR,4.8,Televisores,pesos,,379999,10,100,379999,(30 disponibles),6,https://articulo.mercadolibre.com.ar/MLA-1203717442-smart-tv-samsung-qled-qn65q65bagczb-4k-65-100v240v-_JM#position=50&search_layout=stack&type=item&tracking_id=fc07d567-169f-4cf7-bf96-24a4d733f423,05/04/2023 14:57:19,Samsung,Series 6,QN65Q65BAG,QN65Q65BAGCZB,,100V/240V,Sí,,No,,Tizen,Sí,1450.9 mm x 25.7 mm x 831.4 mm,20.9 kg,1450.9 mm,274 mm,872.2 mm,21.3 kg,2,20 W,Sí,Bixby,"SmartThings,Google Duo",QLED,"65 """,Full HD,Sí,3840 px - 2160 px,16:9,,,,50 Hz,Sí,Sí,3,2,Sí,Sí,Sí,,Sí,"Smart control TM2280E,Manual,Manual electrónico,Cable de alimentación",50 Hz x 60 Hz,Sí,,Sí,Sí,"OTS-Lite,Q-Symphony,Adaptive Sound,Dolby Digital Plus",,,,Sí,,,,No,,,,,,
35,Smart Tv Led Full Hd 40 Pulgadas Netflix Youtube Con Android,AR,4.5,Televisores,pesos,80498,63498,21,100,63498,(216 disponibles),14,https://articulo.mercadolibre.com.ar/MLA-816878291-smart-tv-led-full-hd-40-pulgadas-netflix-youtube-con-android-_JM#position=51&search_layout=stack&type=item&tracking_id=fc07d567-169f-4cf7-bf96-24a4d7,05/04/2023 14:57:36,Kanji,Smart tv led,KJ-4XTL005,KJ.SMART40,Negro,220V,Sí,No,No,No,Android TV,,88.26 cm x 7.9 cm x 51.3 cm,5.8 kg,,,,,2,16 W,,,"Netflix,YouTube",LED,"40 """,HD,No,1366 px - 768 px,16:9,16:9,250 cd/m²,,,Sí,Sí,3,2,Sí,Sí,Sí,Sí,,Control remoto,,,,,,,,,,Sí,,,4,,,,,,,
36,Smart Tv Samsung Serie 8 Un65bu8000gczb Led 4k 65  100-240v,AR,None,Televisores,pesos,,299999,10,5,299999,(47 disponibles),,https://articulo.mercadolibre.com.ar/MLA-1242358301-smart-tv-samsung-serie-8-un65bu8000gczb-led-4k-65-100-240v-_JM#position=52&search_layout=stack&type=item&tracking_id=fc07d567-169f-4cf7-bf96-24a4d73,05/04/2023 14:57:56,Samsung,Crystal UHD,UN65BU8000G,UN65BU8000GXZD,Negro,100V/240V,Sí,No,No,No,Tizen,Sí,1450.9 mm x 25.7 mm x 831.9 mm,20.9 kg,1450.9 mm,281.8 mm,869.6 mm,21.3 kg,2,20 W,Sí,"Google Assistant,Alexa,Bixby","Samsung TV Plus,Netflix,Prime Video,GloboPlay,Disney+,Apple TV,YouTube,Web browser,Home Yoga,Music,SmartThings",LED,"65 """,4K,Sí,3840 px - 2160 px,16:9,,,,60 Hz,Sí,Sí,3,2,Sí,Sí,Sí,,Sí,"Smart control TM2280E,Manual,Manual electrónico,Cable de alimentación",50 Hz x 60 Hz,Sí,,Sí,Sí,"Adaptive Sound,Dolby Digital Plus,Q-Symphony",,,No,No,,,,No,,,,,,
37,Smart Tv Samsung Neo Qled Qn90b 50 Pulgadas ,AR,4.9,Televisores,pesos,,377999,10,100,377999,(33 disponibles),16,https://articulo.mercadolibre.com.ar/MLA-1159012844-smart-tv-samsung-neo-qled-qn90b-50-pulgadas-_JM#position=53&search_layout=stack&type=item&tracking_id=fc07d567-169f-4cf7-bf96-24a4d733f423,05/04/2023 14:58:14,Samsung,Serie 9,Neo Qled,QN90B,Negro,,Sí,,,,,,,,,,,,,,,,,QLED,"50 """,4K,Sí,,,,,,,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,No,,,,,,
38,Smart Tv Android Candy 50 Ultra Hd Gtv1400 Netflix Youtube,AR,4.6,Televisores,pesos,,93500,23,50,93500,(9 disponibles),8,https://www.mercadolibre.com.ar/smart-tv-android-candy-50-ultra-hd-gtv1400-netflix-youtube/p/MLA19960210?pdp_filters=category:MLA1002#searchVariation=MLA19960210&position=28&search_layout=stack&type=p,05/04/2023 14:58:35,Candy,Smart Tv,CDY50GTV1400,,Negro,100V/240V,Sí,No,No,,Android,,,,118.8 cm,23.9 cm,69.6 cm,,2,,,,,DLED,"50 """,Ultra HD,,3840 px - 2160 px,,,220 cd/m²,,,Sí,Sí,,,Sí,Sí,Sí,,,,,,,,,,8 GB,,,,,,,,,,,,,
39,Smart Tv Noblex Dr55x7550 Led 4k 55 Pulgadas Android Tv,AR,4.5,Televisores,pesos,,131999,10,25,131999,(28 disponibles),2,https://www.mercadolibre.com.ar/smart-tv-noblex-dr55x7550-led-4k-55-pulgadas-android-tv/p/MLA20005427?pdp_filters=category:MLA1002#searchVariation=MLA20005427&position=29&search_layout=stack&type=prod,05/04/2023 14:58:55,Noblex,X7 Series,DR55X7550,DR55X7550,Negro,,Sí,No,No,No,Android,,123 cm x 9.08 cm x 77 cm,,,,,,2,16 W,,,,LED,"55 """,4K,,3840 px - 2160 px,16:9,,,8 ms,,Sí,Sí,4,2,Sí,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,
40,Smart Tv Led Noblex Dr50x7550 4k Youtube Netflix Android Tv,AR,4.8,Televisores,pesos,111999,100489,10,100,100489,(51 disponibles),14,https://articulo.mercadolibre.com.ar/MLA-1168759641-smart-tv-led-noblex-dr50x7550-4k-youtube-netflix-android-tv-_JM#position=54&search_layout=stack&type=item&tracking_id=fc07d567-169f-4cf7-bf96-24a4d7,05/04/2023 14:59:13,Noblex,DR,DR50X7550,DR50X7550,,220V,Sí,No,No,No,Android TV,Sí,111.25 cm x 9.08 cm x 64.16 cm,,,,,,2,16 W,,,"YouTube,Web browser",LED,"50 """,4K,No,3840 px - 2160 px,16:9,4000:1,300 cd/m²,8 ms,60 Hz,Sí,Sí,3,2,Sí,Sí,Sí,No,,"Control remoto,Cable de alimentación",,,,,,Standard,,,No,,,,,,,,,,,
41,"Smart TV Feelnology F4322FK5 LED Full HD 43"" 220V",AR,4.5,Televisores,pesos,100999,56499,44,100,56499,(51 disponibles),17,https://www.mercadolibre.com.ar/smart-tv-feelnology-f4322fk5-led-full-hd-43-220v/p/MLA20795087?pdp_filters=category:MLA1002#searchVariation=MLA20795087&position=32&search_layout=stack&type=product&tra,05/04/2023 14:59:31,Feelnology,,F4322FK5,,,220V,Sí,,No,,,,97.2 cm x 8.2 cm x 56.7 cm,7.5 kg,97.2 cm,22.2 cm,61.5 cm,7.6 kg,,,,,"Netflix, YouTube, Prime Video, Web browser",LED,"43 """,Full HD,,1920 px - 1080 px,16:9,120000:1,,,,Sí,Sí,3,2,Sí,No,,,,,,,,Sí,Sí,Dolby Digital,,,,Sí,,,4,,,,,,,
42,Smart Tv Noblex Dk32x5050pi Led Hd 32'',AR,4.6,Televisores,pesos,,48559,34,1000,48559,(9 disponibles),183,https://www.mercadolibre.com.ar/smart-tv-noblex-dk32x5050pi-led-hd-32/p/MLA19461815?pdp_filters=category:MLA1002#searchVariation=MLA19461815&position=33&search_layout=stack&type=product&tracking_id=fc,05/04/2023 14:59:50,Noblex,,DK32X5050PI,91DK32X5050PI,Negro,220V,Sí,No,No,No,,,71.6 cm x 8.6 cm x 42.7 cm,3.8 kg,71.6 cm,16.4 cm,46.8 cm,,2,6 W,,,"Netflix, YouTube",LED,"32 """,HD,No,1366 px - 768 px,16:9,3000:1,180 cd/m²,6.5 ms,,Sí,Sí,2,2,Sí,No,Sí,No,,Control remoto,,,,Sí,,,,,,,,,,,,,,,,
43,Smart Tv Android Candy 32 Ultra Hd Gtv1400 Netflix Youtube,AR,4.6,Televisores,pesos,,52500,34,100,52500,(2 disponibles),20,https://www.mercadolibre.com.ar/smart-tv-android-candy-32-ultra-hd-gtv1400-netflix-youtube/p/MLA20005444?pdp_filters=category:MLA1002#searchVariation=MLA20005444&position=34&search_layout=stack&type=p,05/04/2023 15:00:08,Candy,Televisores,GTV1400,CDY32GTV1400,Negro,,Sí,No,No,Sí,Android 11,,,,,,,,,,,,,DLED,"32 """,HD,,1366 px - 768 px,,,180 cd/m²,8.5 ms,,Sí,Sí,,,Sí,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,
44,"Smart TV Samsung Series 7 UN43AU7000GCZB LED Tizen 4K 43"" 220V - 240V",AR,4.7,Televisores,pesos,,135999,14,1000,135999,(88 disponibles),380,https://www.mercadolibre.com.ar/smart-tv-samsung-series-7-un43au7000gczb-led-tizen-4k-43-220v-240v/p/MLA18556468?pdp_filters=category:MLA1002#searchVariation=MLA18556468&position=35&search_layout=stac,05/04/2023 15:00:29,Samsung,Series 7,UN43AU7000G,UN43AU7000GCZB,,220V - 240V,Sí,,,,Tizen,Sí,963.9 mm x 59.6 mm x 558.9 mm,8.1 kg,963.9 mm,192.5 mm,627.8 mm,8.3 kg,2,20 W,,,"Web browser, Gallery, Netflix, Prime Video, Apple TV, YouTube",LED,"43 """,4K,Sí,3840 px - 2160 px,16:9,,,,,Sí,Sí,3,1,Sí,Sí,Sí,,Sí,"Smart control TM2140A, Manual, Manual electrónico, Cable de alimentación, Adaptador AV, Baterías",50 Hz x 60 Hz,Sí,Sí,Sí,Sí,"Dolby Digital Plus, Q-Symphony",,,,,,,,,,,,,,
45,Smart Tv 50 Pulgadas 4k Ultra Hd 50uq8050psb - LG,AR,4.9,Televisores,pesos,194999,179999,7,100,179999,(268 disponibles),22,https://www.mercadolibre.com.ar/smart-tv-50-pulgadas-4k-ultra-hd-50uq8050psb-lg/p/MLA21679952?pdp_filters=category:MLA1002#searchVariation=MLA21679952&position=36&search_layout=stack&type=product&trac,05/04/2023 15:00:44,LG,,50UQ8050PSB,,,,Sí,No,No,No,,,,,,,,,,,,,,LED,"50 """,,Sí,,,,,,,Sí,Sí,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Smart TV Samsung Series 4 UN32J4300DGCZB LED HD 32"" 220V",AR,4.4,Televisores,pesos,,141700,34,100,141700,(14 disponibles),19,https://www.mercadolibre.com.ar/smart-tv-samsung-series-4-un32j4300dgczb-led-hd-32-220v/p/MLA15055492?pdp_filters=category:MLA1002#searchVariation=MLA15055492&position=37&search_layout=stack&type=prod,05/04/2023 15:00:58,Samsung,Series 4,UN32J4300,UN32J4300DGCZB,,220V,Sí,,,,,,745.4 mm x 69 mm x 442.2 mm,3.7 kg,745.4 mm,150.5 mm,463.1 mm,3.8 kg,2,10 W,,,Web browser,LED,"32 """,HD,,1366 px - 768 px,16:9,,,,,Sí,Sí,2,1,Sí,,Sí,,,"Control remoto, Cable de alimentación",,,,,,,,,,,,,,,,,,,,
47,"Smart TV Samsung Series 7 UN50AU7000GCZB LED Tizen 4K 50"" 220V - 240V",AR,4.6,Televisores,pesos,,159999,23,10,159999,(112 disponibles),1866,https://www.mercadolibre.com.ar/smart-tv-samsung-series-7-un50au7000gczb-led-tizen-4k-50-220v-240v/p/MLA18556467?pdp_filters=category:MLA1002#searchVariation=MLA18556467&position=38&search_layout=stac,05/04/2023 15:01:13,Samsung,Series 7,UN50AU7000G,UN50AU7000GCZB,,220V - 240V,Sí,,,,Tizen,Sí,1116.8 mm x 59.9 mm x 644.2 mm,11.4 kg,1116.8 mm,250.2 mm,719.1 mm,11.6 kg,2,20 W,,,"Web browser, Gallery, Netflix, Prime Video, Apple TV, YouTube",LED,"50 """,4K,Sí,3840 px - 2160 px,16:9,,,,,Sí,Sí,3,1,Sí,Sí,Sí,,Sí,"Smart control TM2140A, Baterías, Manual, Cable de alimentación, Adaptador AV, Manual electrónico",50 Hz x 60 Hz,Sí,Sí,Sí,Sí,"Dolby Digital Plus, Q-Symphony",,,,,,,,,,,,,,
48,Tv Led Smart Hd 32p C32and Con Android Rca,AR,4.5,Televisores,pesos,,50270,34,100,50270,(522 disponibles),24,https://www.mercadolibre.com.ar/tv-led-smart-hd-32p-c32and-con-android-rca/p/MLA19693856?pdp_filters=category:MLA1002#searchVariation=MLA19693856&position=39&search_layout=stack&type=product&tracking_,05/04/2023 15:01:25,RCA,,C32AND,,Negro,,Sí,No,No,,,,,,,,,,,,,,,LED,"32 """,HD,No,1366 px - 768 px,,,,,,Sí,Sí,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,
49,Smart Tv Led 32  B3222s5a Bgh,AR,None,Televisores,pesos,,59999,34,5,59999,(30 disponibles),,https://articulo.mercadolibre.com.ar/MLA-1362039831-smart-tv-led-32-b3222s5a-bgh-_JM#position=30&search_layout=stack&type=item&tracking_id=69741df7-d0f1-4217-a7d2-04f8eb855b7a,05/04/2023 15:02:07,BGH,,"Smart TV HD LED 32""",B3222K5,Negro,220V,Sí,No,No,,Linux,,,,,,,,,,,,,LED,"32 """,HD,No,1280 px - 720 px,16:9,,180 cd/m²,,,Sí,Sí,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,
50,Smart Tv Philco Pld43hs2250pi Led Full Hd 43 ,AR,4.6,Televisores,pesos,92999,69999,23,50,69999,None,8,https://articulo.mercadolibre.com.ar/MLA-1203034655-smart-tv-philco-pld43hs2250pi-led-full-hd-43-_JM#position=31&search_layout=stack&type=item&tracking_id=69741df7-d0f1-4217-a7d2-04f8eb855b7a,05/04/2023 15:02:20,Philco,HS2250,PLD43HS2250PI,91PLD43HS2250PI,Negro,220V,Sí,No,No,No,Vidaa,Sí,95.5 cm x 8.3 cm x 55.8 cm,6.5 kg,95.5 cm,18.2 cm,60.6 cm,,2,16 W,No,,Netflix,LED,"43 """,Full HD,No,1920 px - 1080 px,16:9,1200:1,250 cd/m²,8 ms,60 Hz,Sí,Sí,2,2,Sí,No,Sí,No,Sí,Control remoto,,,,,,,,,,,,,,,,,,,,
51,Smart Tv Bgh Led Uhd 4k Android Pne040263 220v,AR,4.7,Televisores,pesos,114999,99999,13,1000,99999,(14 disponibles),283,https://www.mercadolibre.com.ar/smart-tv-bgh-led-uhd-4k-android-pne040263-220v/p/MLA19453721?pdp_filters=category:MLA1002#searchVariation=MLA19453721&position=3&search_layout=stack&type=product&tracki,05/04/2023 15:02:35,BGH,Smart TV Android,"TV LED BGH 50"" 4K UHD SMART ANDROID",PNE040263,Negro,220V,Sí,,,,Android,,111 cm x 9 cm x 64.9 cm,8.5 kg,111 cm,23.7 cm,71.2 cm,8.6 kg,2,8 W,,,"Netflix, YouTube",LED,"50 """,4K,Sí,3840 px - 2160 px,16:9,,280 cd/m²,8 ms,60 Hz,Sí,Sí,,,Sí,,Sí,,,,,,,Sí,,Dolby Digital,,,,,178°,178°,4,,,,,,,
