,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Color,Es smart,Es 3D,Es curvo,Es portátil,Cantidad de núcleos del procesador,Sistema operativo,Con apagado automático,Con cables ocultos,Con sistema de montaje VESA incorporado,Ancho x Profundidad x Altura,Peso,Ancho con soporte,Profundidad con soporte,Altura con soporte,Peso con soporte,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Accesorios incluidos,Con función screen share,Con comando de voz integrado,Apps integradas,Tipo de display,Tamaño de la pantalla,Tipo de resolución,Con HDR,Resolución máxima,Ángulo de visión horizontal,Ángulo de visión vertical,Relación de aspecto,Relación de contraste,Brillo,Tiempo de respuesta,Frecuencia de actualización de la pantalla,Con USB,Con HDMI,Cantidad de puertos HDMI,Cantidad de puertos USB,Con Wi-Fi,Con Bluetooth,Con ethernet,Con VGA,Con entrada S/PDIF,Con entrada por video componentes,Con entrada por video compuesto,Con entrada de antena RF,Es kit,Voltaje,Capacidad de almacenamiento,Asistentes virtuales integrados,Frecuencia,Países con control mágico incluido,Es inflamable
32,None,MX,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=b8jIFsc45zLXLXoLcDe%2F1OE86EfEPRV5VeZJvkA2moq79h1rYkKxKw5wT9KuV192oEgL6ibeU6B3ACO6K7C6f%2BhYNDKxB%2FtzeL0qJ4%2FElTrEH4%2Ba%2FRyAxS,22/03/2023 11:33:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,None,MX,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=4d50LJwRTgCVZNuenLUApq%2FHb%2BZyG0d13%2BqFxwc8MejL9tuu8bhQGXdvKAkLOAjX8VuZ6Alw3YlL0RJCqcSGU8Tm6%2BhyTidHgchxnRx45ObuWL07rgIq4iCz6A,22/03/2023 11:33:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"Smart TV TCL Series S3 40S351 Full HD 40""",MX,None,Televisores,$,6999,4999,28,1000,1,None,,https://www.mercadolibre.com.mx/smart-tv-tcl-series-s3-40s351-full-hd-40/p/MLM19852691?pdp_filters=category:MLM1002#searchVariation=MLM19852691&position=5&search_layout=stack&type=product&tracking_id=,22/03/2023 11:33:51,TCL,Series S3,40S351,,,Sí,,No,,4,Roku OS,,,,90.5 cm x 7.3 cm x 52.1 cm,,90.5 cm,18.4 cm,57.6 cm,,,,Dolby Digital Plus,"Control remoto, Base",No,Sí,"Netflix, Disney+, Apple TV, HBO, Pluto TV, Directv GO",,"40 """,Full HD,,,,,16:9,,,9.5 ms,60 Hz,Sí,Sí,3,1,Sí,No,,,Sí,,Sí,,,,500 MB,Google Assistant,,,
35,"Smart TV Hisense A4 Series 32A45GV LCD HD 32"" 120V",MX,None,Televisores,$,4999,3699,26,1000,1,None,,https://www.mercadolibre.com.mx/smart-tv-hisense-a4-series-32a45gv-lcd-hd-32-120v/p/MLM20922366?pdp_filters=category:MLM1002#searchVariation=MLM20922366&position=14&search_layout=stack&type=product&tr,22/03/2023 11:33:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Smart TV Hyundai HYLED3248AiM HD 32"" 220V",MX,None,Televisores,$,,3085,,100,1,None,,https://www.mercadolibre.com.mx/smart-tv-hyundai-hyled3248aim-hd-32-220v/p/MLM18609104?pdp_filters=category:MLM1002#searchVariation=MLM18609104&position=17&search_layout=stack&type=product&tracking_id,22/03/2023 11:34:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Smart TV Onn. 100012590 DLED HD 24"" 120V",MX,None,Televisores,$,,2349,,5,1,None,,https://www.mercadolibre.com.mx/smart-tv-onn-100012590-dled-hd-24-120v/p/MLM16590547?pdp_filters=category:MLM1002#searchVariation=MLM16590547&position=19&search_layout=stack&type=product&tracking_id=1,22/03/2023 11:34:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Smart TV Hisense A6 Series 50A6H LED 4K 50"" 120V",MX,4.7,Televisores,$,,6999,,1000,1,None,196,https://www.mercadolibre.com.mx/smart-tv-hisense-a6-series-50a6h-led-4k-50-120v/p/MLM19131816?pdp_filters=category:MLM1002#searchVariation=MLM19131816&position=20&search_layout=stack&type=product&trac,22/03/2023 11:34:18,Hisense,A6 Series,50A6H,,,Sí,,,,,,Sí,,Sí,"44 "" x 2.9 "" x 25.4 """,21.6 lb,"44 ""","8.9 ""","27.9 """,22 lb,2,16 W,"DTS Virtual:X, Surround","Baterías, Control remoto, Cable de alimentación, Manual, Guía de instalación",Sí,Sí,"Disney+, HBO Now, Hulu, Prime Video, Show Time, Pandora, Sling TV, YouTube, Web browser, Google Play Store",LED,"50 """,4K,Sí,3840 px - 2160 px,,,16:9,1000000:1,300 cd/m²,8 ms,120 Hz,Sí,Sí,3,2,Sí,Sí,Sí,,Sí,No,Sí,Sí,,120V,,"Google Assistant, Alexa",50 Hz x 60 Hz,,
39,None,MX,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=Cgy%2BxHGk5o5L5N9F3k2m63ZRHaonDoHaxERHGr%2FChs6ueO%2FqZAFmpfZYgE6oVa8rv1pwnYEbVWPXPnG4lzY%2BBsfhuIgdcS3vn3uzwFKj5ZW84fpzats89xwMMC,22/03/2023 11:34:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,None,MX,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=b2tRblBjgqW058ifNg4sXjwXOagKkyOIqyfahT9BzNVCdz5VIEcxeRUyr2rQlNGvDKJvzhrwCvL5gSpnNbyAUAPXs1F4SLE%2BNDN5O9GW2CDMt0DpPP0h%2F8vq8REBIi,22/03/2023 11:34:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Onn 43 Smart Tv Roku Pantalla Led Alta Definición 100069992,MX,3.6,Televisores,$,6999,4829,31,100,1,None,7,https://www.mercadolibre.com.mx/onn-43-smart-tv-roku-pantalla-led-alta-definicion-100069992/p/MLM19774669?pdp_filters=category:MLM1002#searchVariation=MLM19774669&position=25&search_layout=stack&type=,22/03/2023 11:34:39,Onn.,,100069992,100069992,Negro,Sí,No,No,,,,,,,,,,,,,,,,,,,,LED,"43 """,,No,,,,,,,,,Sí,Sí,,,Sí,,,,,,,,,,,,,,
