,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Color,Con USB,Con HDMI,Tamaño de la pantalla,Tipo de resolución,Con HDR,Es smart,Es curvo,Es portátil,Voltaje,Es 3D,Tipo de pantalla,Peso,Cantidad de núcleos del procesador,Con Wi-Fi,Con Bluetooth,Con ethernet,Capacidad de almacenamiento,Sistema operativo,Cantidad de puertos HDMI,Cantidad de puertos USB,Con apagado automático,Resolución máxima,Relación de aspecto,Frecuencia de actualización de la pantalla,Ancho x Profundidad x Altura,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Accesorios incluidos,Apps integradas,Frecuencia,Con función screen share,Con comando de voz integrado,Asistentes virtuales integrados,Con VGA,Brillo,Tiempo de respuesta,Es inflamable,Es kit,Con sistema de montaje VESA incorporado,Ancho x Altura,Ancho con soporte,Profundidad con soporte,Altura con soporte,Con entrada S/PDIF,Con entrada por video componentes,Con entrada de antena RF
15,Sony - 65 Class A8h Series Oled 4k Uhd Smart Android Tv,CR,None,Televisores,₡,,265000,,1,97,(97 disponibles),,https://articulo.mercadolibre.co.cr/MCR-525939224-sony-65-class-a8h-series-oled-4k-uhd-smart-android-tv-_JM#position=21&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:46:55,Sony,Bravia,KD-60X690E,,,Sí,Sí,"60 """,4K,Sí,Sí,,,110V/240V,,LED,19 kg,,Sí,No,Sí,,Linux,3,3,Sí,3840 px - 2160 px,16:9,240 Hz,135.68 cm x 8.6 cm x 78.61 cm,2,20 W,"DTS Digital Surround,Dolby Digital,Dolby Digital Plus,Dolby Pulse","Baterías,Cable de alimentación,Control remoto","Netflix,Web browser,YouTube",,,,,,,,,,,,,,,,,
16,Smart Tv Qled 65 Samsung Q80 Qn65q80ragxzd 4k,CR,None,Televisores,₡,,198544,,1,97,(97 disponibles),,https://articulo.mercadolibre.co.cr/MCR-525653044-smart-tv-qled-65-samsung-q80-qn65q80ragxzd-4k-_JM#position=22&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:46:59,Samsung,Samsung Q80 QN65Q80RAGXZD,Samsung Q80 QN65Q80RAGXZD,Samsung Q80 QN65Q80RAGXZD,,Sí,Sí,"65 """,,,Sí,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Smart Tv Vizio. Totalmente Nuevas Y Con Garantía ,CR,None,Televisores,₡,,150000,,1,57,(57 disponibles),,https://articulo.mercadolibre.co.cr/MCR-524932265-smart-tv-vizio-totalmente-nuevas-y-con-garantia-_JM#position=23&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:47:03,Vizio,D,,,,Sí,Sí,"75 """,,Sí,Sí,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Smart Tv Samsung Series Q Qn75q800tagxzd Qled 8k 75  100v/24,CR,None,Televisores,₡,,167045,,1,998,(998 disponibles),,https://articulo.mercadolibre.co.cr/MCR-524652115-smart-tv-samsung-series-q-qn75q800tagxzd-qled-8k-75-100v24-_JM#position=25&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5,22/03/2023 08:47:10,Samsung,Series Q,QN75Q800T,QN75Q800TAGXZD,Negro,Sí,Sí,"75 """,8K,Sí,Sí,No,No,,,QLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Tv Samsung 43 Pulgadas Au7000 Crystal Uhd 4k Smart Tv,CR,None,Televisores,₡,,147859,,1,98,(98 disponibles),,https://articulo.mercadolibre.co.cr/MCR-525497109-tv-samsung-43-pulgadas-au7000-crystal-uhd-4k-smart-tv-_JM#position=29&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:47:25,Samsung,Tv Samsung 43 Pulgadas Au7000 Crystal Uhd 4k Smart Tv,Tv Samsung 43 Pulgadas Au7000 Crystal Uhd 4k Smart Tv,,Negro,Sí,Sí,"75 """,Full HD,,Sí,,,110V/220V,,QLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20, Samsung 55  The Terrace Black Qled 4k Uhd Para Exteriores ,CR,None,Televisores,₡,,149171,,1,99,(99 disponibles),,https://articulo.mercadolibre.co.cr/MCR-525927154-samsung-55-the-terrace-black-qled-4k-uhd-para-exteriores-_JM#position=34&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c569,22/03/2023 08:47:42,Samsung,Series 7,QN55Q700TAG,QN55Q700TAGXZS,Negro,Sí,Sí,"55 """,8K,Sí,Sí,No,,100V/240V,No,QLED,18.6 kg,,Sí,Sí,Sí,,Tizen,4,2,Sí,7680 px - 4320 px,16:9,,1228.6 mm x 34.6 mm x 707.6 mm,8,60 W,"Dolby 5.1 Decoder,Dolby Digital Plus,OTS+,Q-Symphony","Baterías,Cable de alimentación,Manual,Manual electrónico,Smart control TM2050C","Gallery,Netflix,Prime Video,SmartThings,Web browser",50 Hz x 60 Hz,Sí,Sí,Bixby,,,,,,,,,,,,,
21,Televisor Samsung 85 Qn900a Serie Neo Qled 8k Uhd,CR,None,Televisores,₡,,600000,,1,99,(99 disponibles),,https://articulo.mercadolibre.co.cr/MCR-525055101-televisor-samsung-85-qn900a-serie-neo-qled-8k-uhd-_JM#position=37&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:47:50,Samsung,Neo QLED 8K,QN85QN900AF,QN85QN900AGXZD,Negro,Sí,Sí,"85 """,8K,Sí,Sí,No,Sí,110V/220V,Sí,QLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Televisor Hisense 75 Class U9dg Serie Dual-cell 4k Uled 2022,CR,None,Televisores,₡,,265000,,,100,(100 disponibles),,https://articulo.mercadolibre.co.cr/MCR-525965210-televisor-hisense-75-class-u9dg-serie-dual-cell-4k-uled-2022-_JM#position=41&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3,22/03/2023 08:48:04,Hisense,M5000 Series,HLE5017RTU,,,Sí,Sí,"50 """,4K,Sí,Sí,,Sí,100V/240V,,ULED,14.2 kg,,Sí,Sí,Sí,,,4,4,Sí,3840 px - 2160 px,16:9,,111.5 cm x 25.5 cm x 68.9 cm,2,10 W,,"Baterías,Cable de alimentación,Control remoto","Netflix,Web browser,YouTube",,,,,No,460 cd/m²,9.5 ms,,,,,,,,,,
23,Control Pantalla Telstar,CR,None,Televisores,₡,,5000,,25,100,(100 disponibles),,https://articulo.mercadolibre.co.cr/MCR-524944855-control-pantalla-telstar-_JM#position=43&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:48:10,,Smart tv,,,,,,,,,,,,,,LCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Samsung Class Qled Q70a Series - Smart Tv De 85,CR,None,Televisores,₡,,889999,,5,4,(4 disponibles),,https://articulo.mercadolibre.co.cr/MCR-526589032-samsung-class-qled-q70a-series-smart-tv-de-85-_JM#position=44&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:48:14,Samsung,Q70A Series,QN85Q70AAFXZA,QN85Q70AAFXZA,Negro,Sí,Sí,"85 """,4K,Sí,Sí,No,Sí,110,Sí,QLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
