,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Color,Voltaje,Es smart,Es 3D,Es curvo,Es portátil,Tipo de pantalla,Tamaño de la pantalla,Tipo de resolución,Con HDR,Resolución máxima,Ángulo de visión horizontal,Ángulo de visión vertical,Relación de aspecto,Con USB,Con HDMI,Con Wi-Fi,Cantidad de núcleos del procesador,Capacidad de almacenamiento,Sistema operativo,Con apagado automático,Ancho x Profundidad x Altura,Cantidad de parlantes,Potencia máxima de los parlantes,Accesorios incluidos,Apps integradas,Cantidad de puertos HDMI,Cantidad de puertos USB,Con ethernet,Con VGA,Peso,Ancho con soporte,Profundidad con soporte,Altura con soporte,Peso con soporte,Modos de sonido,Relación de contraste,Brillo,Tiempo de respuesta,Con Bluetooth,Con entrada S/PDIF,Con entrada por video componentes,Con entrada por video compuesto,Con entrada de antena RF,Con comando de voz integrado,Asistentes virtuales integrados,Frecuencia,Con sistema de montaje VESA incorporado,Con función screen share,Frecuencia de actualización de la pantalla,Países con control mágico incluido,Con cables ocultos
10,Smart Tv Greenwind 32 Hd,UY,4.6,Televisores,U$S,249,139,44,100,614,(614 disponibles),43,https://www.mercadolibre.com.uy/smart-tv-greenwind-32-hd/p/MLU21351055?pdp_filters=category:MLU1002#searchVariation=MLU21351055&position=25&search_layout=grid&type=product&tracking_id=0b375091-8b04-4f,22/03/2023 12:59:28,Greenwind,Smart TV,GW32HD,,Negro,220V,Sí,No,No,Sí,LED,"32 """,HD,No,1366x768,176°,176°,16:9,Sí,Sí,Sí,2,4 GB,Linux,Sí,72.6 cm x 8.2 cm x 42.7 cm,2,5 W,Manual; control remoto; pilas;,,2,2,Sí,No,3.5 kg,72.6 cm,18 cm,48.2 cm,3.6 kg,"Standard, Music, Movie, Sports, Personal",3000:1,,6.5 ms,No,Sí,,,,No,,50/60Hz,Sí,No,,,No
11,"Smart TV Philips 7000 Series 55PUD7406/77 LED 4K 55"" 110V/240V",UY,4.8,Televisores,U$S,949,740,22,50,3,(3 disponibles),21,https://www.mercadolibre.com.uy/smart-tv-philips-7000-series-55pud740677-led-4k-55-110v240v/p/MLU18647649?pdp_filters=category:MLU1002#searchVariation=MLU18647649&position=27&search_layout=grid&type=p,22/03/2023 12:59:35,Philips,7000 Series,55PUD7406,55PUD7406/77,,110V/240V,Sí,,,,LED,"55 """,4K,Sí,3840 px - 2160 px,,,16:9,Sí,Sí,Sí,4,8 GB,Android 10,Sí,1226.8 mm x 86.6 mm x 711.8 mm,2,20 W,"Control remoto, Cable de alimentación, Soporte para la mesa, Baterías, Manual, Guía de instalación","Prime Video, Disney+, YouTube, Netflix, Web browser, GloboPlay",4,2,Sí,,11.6 kg,1226.8 mm,248 mm,743 mm,11.8 kg,"Dolby Atmos, AI Sound",,,,Sí,Sí,,,Sí,Sí,Google Assistant,50 Hz x 60 Hz,Sí,,,,
12,"Smart TV TCL P615-Series 50P615-AP DLED 4K 50"" 100V/240V",UY,4.7,Televisores,U$S,,459,,100,1,None,53,https://www.mercadolibre.com.uy/smart-tv-tcl-p615-series-50p615-ap-dled-4k-50-100v240v/p/MLU16266565?pdp_filters=category:MLU1002#searchVariation=MLU16266565&position=30&search_layout=grid&type=produc,22/03/2023 12:59:45,TCL,P615-Series,50P615,50P615-AP,,100V/240V,Sí,,,,DLED,"50 """,4K,Sí,3840 px - 2160 px,178°,178°,16:9,Sí,Sí,Sí,,16 GB,Android Pie,Sí,,2,19 W,"Cable de alimentación, Tornillos, Manual, Control remoto RC901V, Soporte para la mesa","Google Play Movies & TV, Google Play Music, Google Play Games, Google Play Store, YouTube, Netflix, Prime Video, Centro de medios, E-Sticker",2,2,Sí,,17.2 kg,,,,17.3 kg,"Dolby Audio, Dolby Atmos",5000:1,270 cd/m²,9.5 ms,Sí,,,,,Sí,AI-IN,,Sí,Sí,,,
13,"Smart TV LG AI ThinQ 65UP7750PSB LED 4K 65"" 100V/240V",UY,4.8,Televisores,U$S,1499,999,33,25,73,(73 disponibles),9,https://www.mercadolibre.com.uy/smart-tv-lg-ai-thinq-65up7750psb-led-4k-65-100v240v/p/MLU18453147?pdp_filters=category:MLU1002#searchVariation=MLU18453147&position=32&search_layout=grid&type=product&t,22/03/2023 12:59:53,LG,AI ThinQ,65UP7750,65UP7750PSB,,100V/240V,Sí,,,,LED,"65 """,4K,Sí,3840 px - 2160 px,,,16:9,Sí,Sí,Sí,4,,webOS 6.0,,1454 mm x 57.5 mm x 838 mm,2,20 W,"Control remoto, Cable de alimentación, Tornillos, Baterías, Manual","Netflix, Disney+, Apple TV, Prime Video, Music Player, LG Content Store, Web browser, LG ThinQ",3,2,Sí,,21.38 kg,1454 mm,269 mm,906 mm,21.72 kg,"Dolby Digital, Ultra Surround, AI Sound",,,,Sí,Sí,,,Sí,Sí,"ThinQ AI, Google Assistant, Alexa",50 Hz x 60 Hz,Sí,Sí,60 Hz,Brasil,
14,"Smart TV Panavox 32 android LED HD 32"" 220V",UY,None,Televisores,$,,8926,,100,8,(8 disponibles),,https://www.mercadolibre.com.uy/smart-tv-panavox-32-android-led-hd-32-220v/p/MLU18596232?pdp_filters=category:MLU1002#searchVariation=MLU18596232&position=33&search_layout=grid&type=product&tracking_i,22/03/2023 12:59:57,Panavox,,32 android,,,220V,Sí,,,,LED,"32 """,HD,,1366 px - 768 px,89°,89°,16:9,Sí,Sí,Sí,4,8 GB,Android Pie,,71.7 cm x 8.6 cm x 42.7 cm,2,12 W,,"Netflix, YouTube, Google Play Store, HBO Max, Disney+, Prime Video",2,2,Sí,,,71.7 cm,16 cm,46.9 cm,,"Stereo, DTS Studio Sound",,320 cd/m²,6.5 ms,Sí,Sí,,Sí,Sí,Sí,,,,Sí,,,
15,"Smart TV Sony X80K Series KD-65X80K LCD 4K 65"" 110V/240V",UY,5.0,Televisores,U$S,1399,1299,7,25,25,(25 disponibles),5,https://www.mercadolibre.com.uy/smart-tv-sony-x80k-series-kd-65x80k-lcd-4k-65-110v240v/p/MLU19886612?pdp_filters=category:MLU1002#searchVariation=MLU19886612&position=34&search_layout=grid&type=produc,22/03/2023 13:00:01,Sony,X80K Series,KD-65X80K,,,110V/240V,Sí,,No,,LCD,"65 """,4K,Sí,3840 px - 2160 px,,,16:9,Sí,Sí,Sí,,16 GB,Android TV,Sí,1452 mm x 72 mm x 836 mm,2,20 W,"Soporte para la mesa, Manual, Control remoto, Cable de alimentación, Guía de instalación, Baterías",Google Play Store,4,2,Sí,,21.7 kg,1452 mm,338 mm,905 mm,22.6 kg,"X-Balanced Speaker, DTS Digital Surround, Dolby Audio, Dolby Atmos",,,,Sí,Sí,No,,Sí,Sí,,50 Hz x 60 Hz,Sí,Sí,60 Hz,,
16,"Smart TV LG AI ThinQ 60UP7750PSB LCD 4K 60"" 100V/240V",UY,4.9,Televisores,U$S,1065,990,7,50,17,(17 disponibles),9,https://www.mercadolibre.com.uy/smart-tv-lg-ai-thinq-60up7750psb-lcd-4k-60-100v240v/p/MLU18517645?pdp_filters=category:MLU1002#searchVariation=MLU18517645&position=40&search_layout=grid&type=product&t,22/03/2023 13:00:22,LG,AI ThinQ,60UP7750,60UP7750PSB,,100V/240V,Sí,,,,LCD,"60 """,4K,Sí,3840 px - 2160 px,,,16:9,Sí,Sí,Sí,4,,webOS 6.0,Sí,1356 mm x 57.5 mm x 783 mm,2,20 W,"Cable de alimentación, Control remoto, Base, Baterías, Tornillos, Manual","Web browser, Apple TV, Disney+, Netflix, HBO Go, Spotify, Movistar Play, Zapping TV, LG Content Store, Music Player",3,2,Sí,No,17.1 kg,1356 mm,269 mm,852 mm,17.4 kg,"Ultra Surround, Clear Voice, AI Sound, AI Acoustic Tuning, Clear Voice III, AI Sound Pro",,,,Sí,Sí,,,Sí,Sí,"ThinQ AI, Google Assistant, Alexa",50 Hz x 60 Hz,Sí,Sí,60 Hz,"Colombia, Chile, Brasil, Argentina",
17,"Smart TV Philips 43PFD6825/55 LED Full HD 43"" 110V/240V",UY,None,Televisores,U$S,,379,,100,998,(998 disponibles),,https://www.mercadolibre.com.uy/smart-tv-philips-43pfd682555-led-full-hd-43-110v240v/p/MLU18365855?pdp_filters=category:MLU1002#searchVariation=MLU18365855&position=41&search_layout=grid&type=product&,22/03/2023 13:00:25,Philips,,43PFD6825,43PFD6825/55,,110V/240V,Sí,,No,,LED,"43 """,Full HD,Sí,1920 px - 1080 px,,,16:9,Sí,Sí,Sí,,,Saphi,Sí,955.1 mm x 71.8 mm x 557.9 mm,2,16 W,"Control remoto, Baterías, Soporte para la mesa, Cable de alimentación, Guía de instalación, Manual","Netflix, YouTube, Prime Video",3,1,Sí,,6.3 kg,955.1 mm,232.7 mm,617 mm,6.5 kg,Surround,,,,,Sí,,,Sí,,,50 Hz x 60 Hz,Sí,Sí,,,
18,"Smart TV JVC LT-65N885U DLED 4K 65"" 110V/220V",UY,4.6,Televisores,U$S,990,647,34,100,866,(866 disponibles),45,https://www.mercadolibre.com.uy/smart-tv-jvc-lt-65n885u-dled-4k-65-110v220v/p/MLU17378504?pdp_filters=category:MLU1002#searchVariation=MLU17378504&position=43&search_layout=grid&type=product&tracking_,22/03/2023 13:00:32,JVC,,LT-65N885U,,,110V/220V,Sí,,,,DLED,"65 """,4K,Sí,3840 px - 2160 px,,,16:9,Sí,Sí,Sí,,,Android Nougat,,146.2 cm x 9.4 cm x 84.5 cm,2,16 W,,,3,2,Sí,Sí,,,,,,,5000:1,400 cd/m²,8 ms,,,,,,,,,Sí,Sí,,,
19,"Smart TV Samsung Series 4 UN32T4310AGXUG LED HD 32"" 100V/240V",UY,4.7,Televisores,U$S,357,267,25,100,709,(709 disponibles),92,https://www.mercadolibre.com.uy/smart-tv-samsung-series-4-un32t4310agxug-led-hd-32-100v240v/p/MLU18470470?pdp_filters=category:MLU1002#searchVariation=MLU18470470&position=44&search_layout=grid&type=p,22/03/2023 13:00:36,Samsung,Series 4,UN32T4310AG,UN32T4310AGXUG,,100V/240V,Sí,,,,LED,"32 """,HD,Sí,1366 px - 768 px,,,16:9,Sí,Sí,Sí,,,Tizen,Sí,737.4 mm x 74.1 mm x 438 mm,2,10 W,"Manual, Manual electrónico, Cable de alimentación, Control remoto TM1240A, Baterías","Web browser, Gallery",2,1,Sí,,4 kg,,,,,Dolby Digital Plus,,,,,,,,,,,50 Hz x 60 Hz,Sí,Sí,,,
20,"Smart TV Microsonic LEDDGSM32J1 HD 32"" 100V/240V",UY,4.7,Televisores,U$S,,172,,100,1000,(1000 disponibles),27,https://www.mercadolibre.com.uy/smart-tv-microsonic-leddgsm32j1-hd-32-100v240v/p/MLU17076530?pdp_filters=category:MLU1002#searchVariation=MLU17076530&position=47&search_layout=grid&type=product&tracki,22/03/2023 13:00:46,Microsonic,,LEDDGSM32J1,,,100V/240V,Sí,,,,LED,"32 """,HD,,1366 px - 768 px,,,16:9,Sí,Sí,Sí,,,Android TV,Sí,73.1 cm x 20.9 cm x 47.4 cm,2,16 W,"Control remoto, Cable de alimentación",,3,2,,,3.72 kg,,,,,,,,,,,,,,,,,,,,,
21,Smart Tv Greenwind 40  Fhd,UY,4.8,Televisores,U$S,374,269,28,100,193,(193 disponibles),14,https://www.mercadolibre.com.uy/smart-tv-greenwind-40-fhd/p/MLU22023226?pdp_filters=category:MLU1002#searchVariation=MLU22023226&position=48&search_layout=grid&type=product&tracking_id=0b375091-8b04-4,22/03/2023 13:00:50,Greenwind,Smart TV,GW40FHD,,Negro,220V,Sí,No,No,Sí,DLED,"40 """,Full HD,Sí,1920 x 1080 PX,178°,178°,16:9,Sí,Sí,Sí,2,1 GB,Linux,Sí,90.4 cm x 8.5 cm x 51.6 cm,2,8 W,"Baterías, Patas de apoyo, Control remoto, Manual","Netflix, Prime Video, YouTube",2,2,Sí,No,5.8 kg,90.4 cm,21.2 cm,56.8 cm,5.9 kg,Dolby Digital,5000:1,240 cd/m²,8.5 ms,Sí,Sí,,,Sí,No,,50/60Hz,,Sí,60 Hz,,No
22,"TV Punktal PK-TD236D LED HD 24"" 100V/240V",UY,4.6,Televisores,U$S,,126,,500,4,(4 disponibles),111,https://www.mercadolibre.com.uy/tv-punktal-pk-td236d-led-hd-24-100v240v/p/MLU16266377?pdp_filters=category:MLU1002#searchVariation=MLU16266377&position=49&search_layout=grid&type=product&tracking_id=0,22/03/2023 13:00:54,Punktal,,PK-TD236D,,,100V/240V,,,,,LED,"24 """,HD,,1366 px - 768 px,,,16:9,Sí,Sí,,,,,,552 mm x 151 mm x 366 mm,,,Control remoto,,2,2,,Sí,,,,,,Stereo,,,,,,,,,,,,,No,,,
23,"Smart TV Xion XI-LED32SLIM HD 32"" 220V",UY,None,Televisores,U$S,,166,40,1000,45,(45 disponibles),,https://www.mercadolibre.com.uy/smart-tv-xion-xi-led32slim-hd-32-220v/p/MLU18918008?pdp_filters=category:MLU1002#searchVariation=MLU18918008&position=1&search_layout=grid&type=product&tracking_id=0b37,22/03/2023 13:02:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Smart TV Samsung Series 7 UN50AU7000GCZB LED 4K 50"" 220V - 240V",UY,None,Televisores,U$S,799,599,25,1000,330,(330 disponibles),,https://www.mercadolibre.com.uy/smart-tv-samsung-series-7-un50au7000gczb-led-4k-50-220v-240v/p/MLU18556467?pdp_filters=category:MLU1002#searchVariation=MLU18556467&position=2&search_layout=grid&type=p,22/03/2023 13:03:00,Samsung,Series 7,UN50AU7000G,UN50AU7000GCZB,,220V - 240V,Sí,,,,LED,"50 """,4K,Sí,3840 px - 2160 px,,,16:9,Sí,Sí,Sí,,,Tizen,Sí,1116.8 mm x 59.9 mm x 644.2 mm,2,20 W,"Smart control TM2140A, Baterías, Manual, Cable de alimentación, Adaptador AV, Manual electrónico","Web browser, Gallery, Netflix, Prime Video, Apple TV, YouTube",3,1,Sí,,11.4 kg,1116.8 mm,250.2 mm,719.1 mm,11.6 kg,"Dolby Digital Plus, Q-Symphony",,,,Sí,Sí,,,Sí,,,50 Hz x 60 Hz,Sí,Sí,,,Sí
25,"Smart TV Samsung Series 5 UN43T5300AGXZD LED Full HD 43"" 100V/240V",UY,None,Televisores,U$S,529,399,24,500,19,(19 disponibles),,https://www.mercadolibre.com.uy/smart-tv-samsung-series-5-un43t5300agxzd-led-full-hd-43-100v240v/p/MLU15796379?pdp_filters=category:MLU1002#searchVariation=MLU15796379&position=6&search_layout=grid&ty,22/03/2023 13:03:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Smart TV Samsung Series 7 UN55AU7000GXUG LED 4K 55"" 100V/240V",UY,4.9,Televisores,U$S,899,749,16,100,356,(356 disponibles),40,https://www.mercadolibre.com.uy/smart-tv-samsung-series-7-un55au7000gxug-led-4k-55-100v240v/p/MLU18437318?pdp_filters=category:MLU1002#searchVariation=MLU18437318&position=7&search_layout=grid&type=pr,22/03/2023 13:03:14,Samsung,Series 7,UN55AU7000G,UN55AU7000GXUG,,100V/240V,Sí,,,,LED,"55 """,4K,Sí,3840 px - 2160 px,,,16:9,Sí,Sí,Sí,,,Tizen,Sí,1230.5 mm x 59.9 mm x 707.2 mm,2,20 W,"Smart control TM2140A, Cable de alimentación, Baterías, Manual, Manual electrónico","Gallery, Web browser",3,1,Sí,,13.9 kg,1230.5 mm,250.2 mm,783.3 mm,14.2 kg,"Dolby Digital Plus, Q-Symphony",,,,Sí,Sí,,,Sí,,,50 Hz x 60 Hz,Sí,Sí,,,Sí
27,Smart Tv Motorola Android Tv 50 Uhd 4k Hdr + Comando De Voz + Bluetooth,UY,None,Televisores,U$S,656,499,23,100,767,(767 disponibles),,https://www.mercadolibre.com.uy/smart-tv-motorola-android-tv-50-uhd-4k-hdr-comando-de-voz-bluetooth/p/MLU19738326?pdp_filters=category:MLU1002#searchVariation=MLU19738326&position=9&search_layout=grid,22/03/2023 13:03:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
