,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Tamaño de la pantalla,Con HDR,Es smart,Marca,Modelo,Interfaces de audio y video,Resolución máxima de video,Capacidad de almacenamiento,Memoria RAM,Formato del dispositivo,Tipo de pantalla,Tipo de resolución,Con USB,Con HDMI,Línea,Color,Voltaje,Es portátil,Modelo alfanumérico
10,Reparaciones Tv Sharp Selectron Nisato LG Samsung Panasonic ,PA,None,Televisores,B/.,,1,,,1,None,,https://reparacion-instalacion.mercadolibre.com.pa/MPA-517781501-reparaciones-tv-sharp-selectron-nisato-lg-samsung-panasonic-_JM#position=8&search_layout=stack&type=item&tracking_id=2d2c75a2-0b1d-4b28,22/03/2023 12:06:11,,,,,,,,,,,,,,,,,,,
11,Rm-d1078 Control Remoto Para Samsung Smart Tv Huayu ,PA,None,Televisores,B/.,,7,,1,1,None,,https://articulo.mercadolibre.com.pa/MPA-520583018-rm-d1078-control-remoto-para-samsung-smart-tv-huayu-_JM#position=9&search_layout=stack&type=item&tracking_id=2d2c75a2-0b1d-4b28-9ab2-b1508833e8dc,22/03/2023 12:06:17,,,,,,,,,,,,,,,,,,,
12,Conver Rca Av A Hdmi 1080p Dvd Directv A Tv Video Beam,PA,None,Televisores,B/.,,10,,5,1,None,,https://articulo.mercadolibre.com.pa/MPA-519913513-conver-rca-av-a-hdmi-1080p-dvd-directv-a-tv-video-beam-_JM#position=10&search_layout=stack&type=item&tracking_id=2d2c75a2-0b1d-4b28-9ab2-b1508833e8dc,22/03/2023 12:06:23,,,,,,,,,,,,,,,,,,,
13,LG Tecnico Taller Reparaciones Tv Lavadora Microondas.  ,PA,None,Televisores,B/.,,10,,,1,None,,https://reparacion-instalacion.mercadolibre.com.pa/MPA-509546028-lg-tecnico-taller-reparaciones-tv-lavadora-microondas-_JM#position=11&search_layout=stack&type=item&tracking_id=2d2c75a2-0b1d-4b28-9ab2,22/03/2023 12:06:29,,,,,,,,,,,,,,,,,,,
14,LG Taller Tecnico Tv Led Microondas Lavadora A Domicilio,PA,None,Televisores,B/.,,25,,,1,None,,https://reparacion-instalacion.mercadolibre.com.pa/MPA-517768502-lg-taller-tecnico-tv-led-microondas-lavadora-a-domicilio-_JM#position=12&search_layout=stack&type=item&tracking_id=2d2c75a2-0b1d-4b28-9,22/03/2023 12:06:35,,,,,,,,,,,,,,,,,,,
15,Sankey Taller Tecnico Tv Led A Domicilio ,PA,None,Televisores,B/.,,25,,,1,None,,https://reparacion-instalacion.mercadolibre.com.pa/MPA-517775002-sankey-taller-tecnico-tv-led-a-domicilio-_JM#position=13&search_layout=stack&type=item&tracking_id=2d2c75a2-0b1d-4b28-9ab2-b1508833e8dc,22/03/2023 12:06:42,,,,,,,,,,,,,,,,,,,
16,El Mejor Control Universal Para Tv Pantalla Plana Para Mas I,PA,None,Televisores,B/.,,7,,5,1,None,,https://articulo.mercadolibre.com.pa/MPA-519913512-el-mejor-control-universal-para-tv-pantalla-plana-para-mas-i-_JM#position=14&search_layout=stack&type=item&tracking_id=2d2c75a2-0b1d-4b28-9ab2-b15088,22/03/2023 12:06:48,,,,,,,,,,,,,,,,,,,
17,Rca Av A Hdmi Convertidor 1080p Para Tv Ps3 Ps4 Pc Dvd X Pro,PA,None,Televisores,B/.,,10,,5,1,None,,https://articulo.mercadolibre.com.pa/MPA-521616532-rca-av-a-hdmi-convertidor-1080p-para-tv-ps3-ps4-pc-dvd-x-pro-_JM#position=15&search_layout=stack&type=item&tracking_id=2d2c75a2-0b1d-4b28-9ab2-b15088,22/03/2023 12:06:54,,,,,,,,,,,,,,,,,,,
18,Selectron Tecnico Tv Led Taller Reparaciones,PA,None,Televisores,B/.,,25,,,1,None,,https://reparacion-instalacion.mercadolibre.com.pa/MPA-517690531-selectron-tecnico-tv-led-taller-reparaciones-_JM#position=16&search_layout=stack&type=item&tracking_id=2d2c75a2-0b1d-4b28-9ab2-b1508833,22/03/2023 12:07:00,,,,,,,,,,,,,,,,,,,
19,"Taller Tecnico Tv Led Sharp, Hitachi, Toshiba Premiere Sony ",PA,None,Televisores,B/.,,25,,,1,None,,https://reparacion-instalacion.mercadolibre.com.pa/MPA-517768503-taller-tecnico-tv-led-sharp-hitachi-toshiba-premiere-sony-_JM#position=17&search_layout=stack&type=item&tracking_id=2d2c75a2-0b1d-4b28-,22/03/2023 12:07:05,,,,,,,,,,,,,,,,,,,
20,Reproduce Tu Celular En El Tv. Tv Dongle Lw77 Full Hd Hdm,PA,None,Televisores,B/.,,18,,5,1,None,,https://articulo.mercadolibre.com.pa/MPA-521642520-reproduce-tu-celular-en-el-tv-tv-dongle-lw77-full-hd-hdm-_JM#position=18&search_layout=stack&type=item&tracking_id=2d2c75a2-0b1d-4b28-9ab2-b1508833e8,22/03/2023 12:07:12,,,,,,,,,,,,,,,,,,,
21,Taller Tecnico Tv Led Microondas Lavadora Digital,PA,None,Televisores,B/.,,25,,,1,None,,https://reparacion-instalacion.mercadolibre.com.pa/MPA-517781502-taller-tecnico-tv-led-microondas-lavadora-digital-_JM#position=19&search_layout=stack&type=item&tracking_id=2d2c75a2-0b1d-4b28-9ab2-b15,22/03/2023 12:07:18,,,,,,,,,,,,,,,,,,,
22,En Panamá Reparaciones Tv Led Lcd Plasma,PA,None,Televisores,None,,,,,1,None,,https://reparacion-instalacion.mercadolibre.com.pa/MPA-517781504-en-panama-reparaciones-tv-led-lcd-plasma-_JM#position=20&search_layout=stack&type=item&tracking_id=2d2c75a2-0b1d-4b28-9ab2-b1508833e8dc,22/03/2023 12:07:24,,,,,,,,,,,,,,,,,,,
23,Hisense Reparaciones Técnico Taller Tv Led,PA,None,Televisores,B/.,,25,,,1,None,,https://reparacion-instalacion.mercadolibre.com.pa/MPA-517716527-hisense-reparaciones-tecnico-taller-tv-led-_JM#position=21&search_layout=stack&type=item&tracking_id=2d2c75a2-0b1d-4b28-9ab2-b1508833e8,22/03/2023 12:07:31,,,,,,,,,,,,,,,,,,,
24,Cable Dvi A Hdmi (24+1) Full Hd 1080p Ps3 Xbox Pc Tv 1.8m,PA,None,Televisores,B/.,,6,,1,1,None,,https://articulo.mercadolibre.com.pa/MPA-520661015-cable-dvi-a-hdmi-241-full-hd-1080p-ps3-xbox-pc-tv-18m-_JM#position=22&search_layout=stack&type=item&tracking_id=2d2c75a2-0b1d-4b28-9ab2-b1508833e8dc,22/03/2023 12:07:37,,,,,,,,,,,,,,,,,,,
25,None,PA,None,Televisores,None,,,,,1,None,,https://reparacion-instalacion.mercadolibre.com.pa/MPA-514863066-sankey-tv-tecnico-taller-reparaciones-_JM#position=23&search_layout=stack&type=item&tracking_id=2d2c75a2-0b1d-4b28-9ab2-b1508833e8dc,22/03/2023 12:07:43,,,,,,,,,,,,,,,,,,,
