,Country Code,brand,Model#,title,number_of_offers,average_price,currency,Date added,category,scrape_date,scrape_link,Specification,Specification Value
38,KU,Samsung,UA65TU7000,Samsung 65'' Crystal UHD 4K Smart TV UA65TU7000,1,243.96,KWD,Aug-20,Television,22/09/2022 09:33,https://kw.pricena.com/en/product/samsung-65-crystal-uhd-4k-smart-tv-ua65tu7000-price-in-kuwait-5908746?ref=quicklinks,Screen Size,65 Inch
39,KU,Samsung,UA65TU7000,Samsung 65'' Crystal UHD 4K Smart TV UA65TU7000,1,243.96,KWD,Aug-20,Television,22/09/2022 09:33,https://kw.pricena.com/en/product/samsung-65-crystal-uhd-4k-smart-tv-ua65tu7000-price-in-kuwait-5908746?ref=quicklinks,Special Features,"Without 3D,Smart TV"
40,KU,Samsung,UA65TU7000,Samsung 65'' Crystal UHD 4K Smart TV UA65TU7000,1,243.96,KWD,Aug-20,Television,22/09/2022 09:33,https://kw.pricena.com/en/product/samsung-65-crystal-uhd-4k-smart-tv-ua65tu7000-price-in-kuwait-5908746?ref=quicklinks,Model,UA65TU7000 54320
41,KU,Samsung,UA65TU7000,Samsung 65'' Crystal UHD 4K Smart TV UA65TU7000,1,243.96,KWD,Aug-20,Television,22/09/2022 09:33,https://kw.pricena.com/en/product/samsung-65-crystal-uhd-4k-smart-tv-ua65tu7000-price-in-kuwait-5908746?ref=quicklinks,Shipping weight,25.00 Kg
42,KU,Samsung,43T5300AU,Samsung 43 Inch FHD Smart Tv 43T5300AU,1,112.77,KWD,Jul-21,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/samsung-43-inch-fhd-smart-tv-43t5300au-price-in-kuwait-6650899?ref=quicklinks,price,112.77
43,KU,Samsung,43T5300AU,Samsung 43 Inch FHD Smart Tv 43T5300AU,1,112.77,KWD,Jul-21,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/samsung-43-inch-fhd-smart-tv-43t5300au-price-in-kuwait-6650899?ref=quicklinks,Display Resolution,Full HD
44,KU,Samsung,43T5300AU,Samsung 43 Inch FHD Smart Tv 43T5300AU,1,112.77,KWD,Jul-21,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/samsung-43-inch-fhd-smart-tv-43t5300au-price-in-kuwait-6650899?ref=quicklinks,Screen Size,43 Inch
45,KU,Samsung,43T5300AU,Samsung 43 Inch FHD Smart Tv 43T5300AU,1,112.77,KWD,Jul-21,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/samsung-43-inch-fhd-smart-tv-43t5300au-price-in-kuwait-6650899?ref=quicklinks,Special Features,"Without 3D,Smart TV"
46,KU,Star,43LN5150,Star X 43-Inch FHD LED Television - Black 43LN5150,1,48.73,KWD,Jun-21,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/star-x-43-inch-fhd-led-television-black-43ln5150-price-in-kuwait-6581697?ref=quicklinks,price,48.73
47,KU,Star,43LN5150,Star X 43-Inch FHD LED Television - Black 43LN5150,1,48.73,KWD,Jun-21,Television,22/09/2022 09:34,https://kw.pricena.com/en/product/star-x-43-inch-fhd-led-television-black-43ln5150-price-in-kuwait-6581697?ref=quicklinks,Display Resolution,Full HD
