,country,category,brand,title,reference,no_offers,avg_price,currency,Çıkış Yılı,scrape_time,scrape_link,level_11,0
28,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,HDMI Özellikleri,"HDMI 2.1


HDMI 2.0


HDMI Enhanced Audio Return Channel (eARC)


HDCP 2.2


HDMI Audio Return Channel (ARC)


HDCP"
29,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,HDMI-CEC,Anynet+
30,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,Dijital Ses Çıkışı,Optik
31,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,Common Interface (CI+),Var
32,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,CI+ Özellikleri,CI+ (1.4)
33,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,Analog/Kablolu Anten Girişi,1 Adet
34,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,Uydu Anteni Girişi,2 Adet
35,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,3D,Yok
36,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,Smart TV,Var
37,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,Smart TV Özellikleri,"Smart Hub


Web Tarayıcı"
